,TEAM,SEASON,AGE,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,PACE,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA,ARENA,ATTENDANCE,ATTENDANCE/G
818,MIL,1982-83,28.1,51,31,53,29,4.4,-0.08,4.32,105.8,101.4,4.4,100,0.322,0.024,0.537,0.491,15.1,31.8,0.243,0.459,15.5,65.5,0.228,MECCA Arena,425572,
819,MIL,1983-84,28.4,50,32,52,30,4.16,-0.12,4.04,107.8,103.6,4.2,96.9,0.338,0.033,0.541,0.497,15,33.7,0.25,0.459,14.7,65.6,0.266,MECCA Arena,393301,
820,MIL,1984-85,25.7,59,23,58,24,6.85,-0.16,6.69,110.5,103.6,6.9,99.7,0.341,0.041,0.545,0.497,14.2,35.4,0.258,0.467,16.1,65.6,0.29,MECCA Arena,422924,
821,MIL,1985-86,26,57,25,62,20,9.04,-0.35,8.69,111.4,102.7,8.7,102.1,0.369,0.052,0.552,0.501,13.9,33.8,0.282,0.473,16.6,67.4,0.281,MECCA Arena,443064,10451
822,MIL,1986-87,27.7,50,32,51,31,3.91,0.12,4.04,109.5,105.6,3.9,100.3,0.35,0.079,0.539,0.487,13,31.1,0.268,0.479,16,66.1,0.307,MECCA Arena,451797,
823,MIL,1987-88,28.6,42,40,42,40,0.54,0.68,1.21,108.2,107.6,0.6,97.6,0.334,0.058,0.536,0.485,13.6,31.8,0.259,0.483,14.2,66.6,0.259,MECCA Arena,441615,
824,MIL,1988-89,28.5,49,33,50,32,3.61,0.5,4.11,110.1,106.4,3.7,98.6,0.332,0.079,0.544,0.487,13.7,32.7,0.273,0.493,16.1,67.5,0.266,Bradley Center,700984,
825,MIL,1989-90,28.1,44,38,39,43,-0.78,-0.28,-1.06,107.3,108.1,-0.8,98,0.318,0.094,0.533,0.488,13.9,31.5,0.241,0.492,15.8,66,0.29,Bradley Center,659602,
826,MIL,1990-91,29.3,48,34,48,34,2.48,-0.15,2.33,109.7,107.2,2.5,96.1,0.323,0.108,0.55,0.499,14.3,31.8,0.258,0.5,16.4,66.1,0.259,Bradley Center,673687,
827,MIL,1991-92,30.2,31,51,36,46,-1.71,0.26,-1.46,108.8,110.6,-1.8,95.5,0.292,0.139,0.529,0.486,14.2,35.9,0.221,0.514,15.3,65,0.237,Bradley Center,635515,
828,MIL,1992-93,26.9,28,54,31,51,-3.73,0.47,-3.26,106.2,110.1,-3.9,96.1,0.301,0.135,0.535,0.495,14.8,30.5,0.223,0.502,15.7,62.5,0.266,Bradley Center,660939,
829,MIL,1993-94,26.1,20,62,24,58,-6.48,0.24,-6.24,102.5,109.3,-6.8,94.5,0.32,0.15,0.512,0.471,14.7,31.1,0.225,0.513,15.7,66.5,0.254,Bradley Center,634047,
830,MIL,1994-95,25.7,34,48,29,53,-4.37,0.07,-4.3,106.2,110.9,-4.7,92.7,0.343,0.205,0.537,0.496,15.5,31.3,0.244,0.53,15.3,68.3,0.23,Bradley Center,670720,
831,MIL,1995-96,27.5,25,57,26,56,-5.3,0.38,-4.92,105.6,111.5,-5.9,90.2,0.295,0.163,0.534,0.495,15,29.7,0.218,0.52,14.1,68.4,0.248,Bradley Center,647088,
832,MIL,1996-97,27.3,33,49,35,47,-1.89,0.51,-1.38,106.2,108.3,-2.1,89.5,0.334,0.146,0.541,0.496,15.1,29.7,0.248,0.501,14.1,69.9,0.253,Bradley Center,634999,
833,MIL,1997-98,27.6,36,46,35,47,-1.91,0.58,-1.33,103.5,105.6,-2.1,90.2,0.339,0.11,0.527,0.475,15.8,31.4,0.26,0.485,15.5,69.1,0.282,Bradley Center,638034,
834,MIL,1998-99,28.3,28,22,28,22,1.66,0,1.66,104.9,103,1.9,87,0.303,0.162,0.53,0.489,14.3,29,0.222,0.463,16,67.6,0.275,Bradley Center,381948,
835,MIL,1999-00,28.2,42,40,42,40,0.22,-0.28,-0.06,108.2,107.9,0.3,92.7,0.29,0.157,0.539,0.494,13.8,30,0.228,0.496,14.6,69.6,0.254,Bradley Center,628605,
836,MIL,2000-01,28.2,52,30,52,30,3.88,-0.74,3.14,108.8,104.6,4.2,92.1,0.276,0.218,0.542,0.499,12.8,28.1,0.217,0.473,14.4,71.1,0.253,Bradley Center,683125,16662
837,MIL,2001-02,28.9,41,41,40,42,-0.22,-0.4,-0.62,106.9,107.1,-0.2,90.2,0.269,0.241,0.544,0.507,13.6,25.6,0.201,0.477,12,70.9,0.217,Bradley Center,745305,18178
838,MIL,2002-03,29.3,42,40,42,40,0.23,-0.48,-0.24,108.8,108.6,0.2,90.4,0.287,0.229,0.543,0.5,12.2,25.6,0.222,0.494,13.5,69.9,0.237,Bradley Center,665966,16243
839,MIL,2003-04,26.5,41,41,44,38,1.06,-0.64,0.42,106.5,105.4,1.1,91.6,0.33,0.172,0.528,0.477,12.7,27.6,0.255,0.485,13.3,71.8,0.213,Bradley Center,690180,16834
840,MIL,2004-05,26.9,30,52,32,50,-2.99,-0.1,-3.09,106.6,109.8,-3.2,90.8,0.339,0.141,0.527,0.475,13,29,0.261,0.499,12.4,72,0.233,Bradley Center,637009,15537
841,MIL,2005-06,25.5,40,42,38,44,-1.04,-0.04,-1.07,106.3,107.4,-1.1,91.2,0.322,0.203,0.535,0.492,13.8,27.3,0.238,0.504,13.8,74.6,0.262,Bradley Center,681337,16618
842,MIL,2006-07,26,28,54,29,53,-4.38,-0.06,-4.43,107,111.7,-4.7,92.3,0.286,0.219,0.541,0.504,14.1,27.6,0.209,0.522,14.5,68.1,0.234,Bradley Center,663629,16186
843,MIL,2007-08,25.8,26,56,23,59,-6.89,-0.03,-6.92,105.3,112.8,-7.5,91.3,0.294,0.195,0.522,0.482,13.7,30,0.215,0.524,13,73,0.25,Bradley Center,639421,15596
844,MIL,2008-09,26.3,34,48,38,44,-1.09,0.21,-0.88,106.7,107.9,-1.2,92.6,0.306,0.208,0.531,0.483,13.1,27.8,0.239,0.503,15.6,74,0.315,Bradley Center,630976,15390
845,MIL,2009-10,26.4,46,36,46,36,1.7,-0.32,1.37,104.9,103.1,1.8,91.7,0.239,0.259,0.518,0.482,12.3,26.2,0.181,0.486,14.6,76.4,0.266,Bradley Center,619453,15109
846,MIL,2010-11,26.7,35,47,38,44,-0.84,-0.17,-1.02,101.6,102.5,-0.9,89.8,0.287,0.216,0.511,0.467,13,24.7,0.217,0.481,14.7,74.8,0.236,Bradley Center,631912,15412
847,MIL,2011-12,26.2,31,35,34,32,0.27,-0.5,-0.23,105.5,105.2,0.3,93.7,0.25,0.224,0.521,0.481,12.9,27.7,0.194,0.489,14.6,70.9,0.217,Bradley Center,485717,14719
848,MIL,2012-13,26.4,38,44,37,45,-1.5,-0.33,-1.83,103.6,105.2,-1.6,94.7,0.236,0.232,0.51,0.476,12.7,27.9,0.174,0.492,14.4,71.3,0.201,BMO Harris Bradley Center,616469,15036
849,MIL,2013-14,24.7,15,67,20,62,-8.18,-0.23,-8.41,103,111.8,-8.8,91.8,0.274,0.231,0.519,0.479,14.1,27.1,0.204,0.52,13.2,71.4,0.225,BMO Harris Bradley Center,552067,13465
850,MIL,2014-15,24.6,41,41,42,40,0.43,-0.52,-0.09,102.7,102.2,0.5,94.1,0.258,0.223,0.536,0.499,15.5,25.4,0.195,0.487,15.9,73.3,0.221,BMO Harris Bradley Center,593910,14813
851,MIL,2015-16,23.5,33,49,29,53,-4.18,0.2,-3.98,104.3,108.7,-4.4,94.2,0.276,0.189,0.537,0.499,14.2,24.9,0.207,0.51,14.2,73.1,0.221,BMO Harris Bradley Center,621808,15166
852,MIL,2016-17,25.6,42,40,40,42,-0.18,-0.26,-0.45,109.1,109.3,-0.2,94.5,0.274,0.29,0.565,0.527,13.2,21.5,0.21,0.518,13.6,75.4,0.215,BMO Harris Bradley Center,648952,15828
853,MIL,2017-18,25.9,44,38,40,42,-0.3,-0.15,-0.45,109.8,110.1,-0.3,96.2,0.281,0.297,0.571,0.531,12.9,20.4,0.22,0.528,14.2,75.9,0.22,BMO Harris Bradley Center,685303,16856
854,MIL,2018-19,26.9,60,22,61,21,8.87,-0.82,8.04,113.8,105.2,8.6,103.3,0.255,0.419,0.583,0.55,12,20.8,0.197,0.503,11.5,80.3,0.162,Fiserv Forum,721692,17602
855,LAC,1984-85,27.3,31,51,30,52,-4.49,-0.07,-4.55,105.8,110.3,-4.5,100.9,0.31,0.026,0.543,0.499,16.4,33.8,0.235,0.495,12.7,66.1,0.21,Los Angeles Memorial Sports Arena,384519,
856,LAC,1985-86,27,32,50,24,58,-6.93,0.1,-6.83,105.4,112.1,-6.7,102.7,0.374,0.032,0.534,0.477,15.3,32,0.288,0.512,14,64,0.225,Los Angeles Memorial Sports Arena,337814,7663
857,LAC,1986-87,26.2,12,70,16,66,-11.43,0.42,-11,101.2,112.3,-11.1,102.7,0.343,0.047,0.508,0.457,15,31.8,0.255,0.526,15.5,64.3,0.258,Los Angeles Memorial Sports Arena,316140,
858,LAC,1987-88,26.2,17,65,16,66,-10.32,0.07,-10.24,97.4,107.6,-10.2,100.8,0.32,0.044,0.494,0.449,15.7,30.9,0.229,0.486,14.8,65.4,0.244,Los Angeles Memorial Sports Arena,345589,
859,LAC,1988-89,24.6,21,61,18,64,-9.91,0.41,-9.5,100.8,110.2,-9.4,104.4,0.299,0.032,0.518,0.478,16.5,31.2,0.216,0.497,14.1,64,0.237,Los Angeles Memorial Sports Arena,286614,
860,LAC,1989-90,24.5,30,52,32,50,-3.39,0.59,-2.8,104,107.4,-3.4,99.2,0.359,0.034,0.536,0.488,16.3,30.9,0.265,0.489,14.3,67.3,0.241,Los Angeles Memorial Sports Arena,486621,
861,LAC,1990-91,25.1,31,51,32,50,-3.45,0.29,-3.16,103,106.5,-3.5,99.9,0.311,0.059,0.511,0.471,14.7,33.3,0.218,0.481,13.7,69.2,0.266,Los Angeles Memorial Sports Arena,522111,
862,LAC,1991-92,27.3,45,37,44,38,1.07,0.03,1.1,105.8,104.7,1.1,96.5,0.314,0.071,0.524,0.483,13.6,31.6,0.226,0.475,14.9,67.5,0.244,Los Angeles Memorial Sports Arena,500200,
863,LAC,1992-93,26.7,41,41,42,40,0.35,-0.03,0.33,107.4,107.1,0.3,99.1,0.297,0.067,0.53,0.493,13.9,32.7,0.213,0.489,15.1,66.7,0.263,Los Angeles Memorial Sports Arena,532625,
864,LAC,1993-94,27,27,55,26,56,-5.72,0.44,-5.28,102.9,108.6,-5.7,99.6,0.297,0.116,0.521,0.484,15.4,30.4,0.211,0.494,14,64.1,0.213,Los Angeles Memorial Sports Arena,471034,
865,LAC,1994-95,24.9,17,65,18,64,-9.16,0.73,-8.43,101.5,111.1,-9.6,94.3,0.302,0.153,0.508,0.468,14.6,29.6,0.214,0.526,16.6,65.7,0.29,Los Angeles Memorial Sports Arena,438244,
866,LAC,1995-96,25.2,29,53,31,51,-3.6,0.13,-3.46,106.5,110.3,-3.8,93.2,0.3,0.208,0.544,0.511,15.3,29.3,0.21,0.512,15.2,67.9,0.282,Los Angeles Memorial Sports Arena,405495,
867,LAC,1996-97,25.5,36,46,34,48,-2.35,-0.31,-2.66,105.1,107.6,-2.5,91.3,0.31,0.2,0.524,0.482,14.7,30.8,0.227,0.499,15.5,68.1,0.269,Los Angeles Memorial Sports Arena,232895,
868,LAC,1997-98,25.7,17,65,21,61,-7.37,-0.16,-7.53,103.3,111.2,-7.9,92.4,0.306,0.219,0.518,0.477,14.8,29.6,0.221,0.498,12.9,66.1,0.243,Los Angeles Memorial Sports Arena,254840,
869,LAC,1998-99,25,9,41,11,39,-8.82,-0.12,-8.94,100,109.7,-9.7,89.5,0.306,0.167,0.497,0.454,14.9,30.6,0.22,0.503,14.8,66.9,0.279,Los Angeles Memorial Sports Arena,256568,
870,LAC,1999-00,24.2,15,67,13,69,-11.52,0.8,-10.73,97.8,110.1,-12.3,93.9,0.27,0.188,0.499,0.458,14.9,26.1,0.202,0.507,13.1,69.6,0.22,STAPLES Center,559714,
871,LAC,2000-01,24.3,31,51,32,50,-2.89,0.66,-2.23,101.3,104.5,-3.2,89.6,0.319,0.164,0.514,0.476,14.9,28.3,0.221,0.466,12,71.1,0.217,STAPLES Center,601587,14673
872,LAC,2001-02,24.4,39,43,40,42,-0.46,0.38,-0.09,105.5,106,-0.5,90.1,0.304,0.172,0.519,0.476,13.8,31.3,0.225,0.477,12.1,69.9,0.194,STAPLES Center,740185,18053
873,LAC,2002-03,25.3,27,55,29,53,-4.12,0.68,-3.45,102.3,106.8,-4.5,91.3,0.335,0.182,0.516,0.467,14.8,29.1,0.252,0.481,13.1,70.2,0.222,STAPLES Center,706471,17231
874,LAC,2003-04,24.3,28,54,28,54,-4.59,0.84,-3.74,103.5,108.5,-5,91,0.35,0.156,0.512,0.453,15,32.8,0.275,0.494,12.9,70,0.231,STAPLES Center,665396,16143
875,LAC,2004-05,25.5,37,45,39,43,-0.77,0.3,-0.47,105.5,106.4,-0.9,89.1,0.357,0.105,0.533,0.477,14.9,30.3,0.278,0.48,13,71.3,0.235,STAPLES Center,696181,16980
876,LAC,2005-06,26.8,47,35,46,36,1.57,0.18,1.75,105.3,103.6,1.7,91.7,0.332,0.131,0.54,0.487,13.8,25.4,0.263,0.471,12.2,75.9,0.24,STAPLES Center,712409,17376
877,LAC,2006-07,27.5,40,42,40,42,-0.46,0.39,-0.07,105.1,105.6,-0.5,90.8,0.355,0.143,0.537,0.481,14.5,27.2,0.28,0.488,13.3,74.7,0.249,STAPLES Center,755261,18421
878,LAC,2007-08,28.5,23,59,21,61,-7.27,0.71,-6.56,101.2,109.1,-7.9,92.1,0.338,0.167,0.519,0.465,13.7,23.1,0.264,0.503,12.8,73.1,0.236,STAPLES Center,692408,16888
879,LAC,2008-09,26.6,19,63,18,64,-8.77,0.3,-8.47,102.3,111.7,-9.4,92.1,0.275,0.226,0.52,0.481,14,25.1,0.202,0.512,12.4,71.2,0.227,STAPLES Center,663587,16185
880,LAC,2009-10,27.3,29,53,24,58,-6.35,0.34,-6.01,103.3,110.1,-6.8,92.6,0.283,0.221,0.529,0.491,14.8,27.1,0.206,0.509,12.2,74,0.214,STAPLES Center,670063,16343
881,LAC,2010-11,24.6,32,50,32,50,-3.13,0.42,-2.71,105.3,108.7,-3.4,92.8,0.332,0.23,0.535,0.496,15.1,28.4,0.234,0.499,12.8,73.2,0.25,STAPLES Center,727462,17743
882,LAC,2011-12,27.3,40,26,39,27,2.56,0.26,2.82,108.5,105.7,2.8,89.2,0.287,0.269,0.533,0.502,12.7,29.5,0.195,0.492,14.2,73.2,0.245,STAPLES Center,634237,19219
883,LAC,2012-13,28.8,56,26,59,23,6.45,-0.02,6.43,110.6,103.6,7,91.1,0.286,0.265,0.557,0.526,13.9,28.8,0.203,0.492,15.4,73.5,0.229,STAPLES Center,788293,19227
884,LAC,2013-14,28.1,57,25,59,23,6.98,0.3,7.27,112.1,104.8,7.3,95.9,0.353,0.291,0.567,0.526,12.7,25,0.258,0.484,13.8,72.5,0.222,STAPLES Center,787692,19212
885,LAC,2014-15,28.8,56,26,58,24,6.59,0.22,6.8,112.4,105.5,6.9,94.7,0.303,0.322,0.565,0.533,11.6,22.8,0.215,0.493,13.2,75.7,0.231,STAPLES Center,785892,19168
886,LAC,2015-16,29.7,53,29,53,29,4.28,-0.15,4.13,108.3,103.8,4.5,95.8,0.318,0.324,0.556,0.524,12.1,20.1,0.22,0.48,13.8,73.8,0.222,STAPLES Center,786910,19193
887,LAC,2016-17,30,51,31,52,30,4.29,0.13,4.42,112.7,108.2,4.5,96.1,0.312,0.329,0.574,0.537,12,21.5,0.233,0.506,12.1,76.9,0.211,STAPLES Center,782609,19088
888,LAC,2017-18,27,42,40,41,41,0.04,0.11,0.15,110.3,110.2,0.1,98.7,0.299,0.314,0.564,0.527,13.2,23.5,0.222,0.52,12.6,76.1,0.203,STAPLES Center,697812,17020
889,LAC,2018-19,27.2,48,34,43,39,0.85,0.23,1.09,112.4,111.5,0.9,101.7,0.326,0.295,0.575,0.529,12.7,22,0.258,0.514,11.4,76,0.224,STAPLES Center,710327,17325
890,DAL,1980-81,24.8,15,67,20,62,-8.4,0.07,-8.33,102.4,110.8,-8.4,98.6,0.359,0.024,0.519,0.466,15.2,30.7,0.27,0.516,15.1,65,0.245,Reunion Arena,319347,
891,DAL,1981-82,24.4,28,54,29,53,-4.43,-0.06,-4.48,105.9,110.4,-4.5,98.5,0.328,0.026,0.519,0.473,13.7,33.9,0.241,0.51,14.5,66.8,0.266,Reunion Arena,380484,
892,DAL,1982-83,24.2,38,44,40,42,-0.41,-0.29,-0.7,109.4,109.8,-0.4,102.8,0.326,0.025,0.535,0.489,13.5,34.8,0.245,0.506,14,66.2,0.228,Reunion Arena,487155,
893,DAL,1983-84,24.7,43,39,42,40,0.43,-0.27,0.15,110,109.6,0.4,99,0.325,0.025,0.547,0.503,13.6,31.7,0.245,0.503,14.4,65.7,0.232,Reunion Arena,538162,
894,DAL,1984-85,25,44,38,47,35,2.17,-0.37,1.8,111.5,109.3,2.2,98.8,0.319,0.061,0.549,0.499,12.5,30.7,0.253,0.51,14.2,68.8,0.221,Reunion Arena,683916,
895,DAL,1985-86,25.8,44,38,44,38,1.1,-0.4,0.7,112.1,111,1.1,102.2,0.364,0.061,0.562,0.51,13.3,30,0.283,0.508,13,66.8,0.201,Reunion Arena,693052,16776
896,DAL,1986-87,26.4,55,27,56,26,6.3,-0.77,5.54,114.9,108.7,6.2,100.5,0.369,0.089,0.558,0.503,12.3,33.8,0.291,0.486,13.5,66.5,0.233,Reunion Arena,696333,
897,DAL,1987-88,27,53,29,52,30,4.37,-0.77,3.59,112.2,107.7,4.5,97,0.349,0.073,0.54,0.485,13.2,37.5,0.275,0.481,13,67.5,0.203,Reunion Arena,695592,
898,DAL,1988-89,28.6,38,44,38,44,-1.21,-0.59,-1.79,107.4,108.6,-1.2,95.9,0.327,0.098,0.536,0.484,13.5,29.5,0.258,0.48,12.5,66.1,0.215,Reunion Arena,695056,
899,DAL,1989-90,29.2,47,35,41,41,0.07,0.35,0.42,107.2,107.2,0,94.5,0.331,0.071,0.536,0.487,13.6,30.3,0.254,0.481,13.4,67.9,0.232,Reunion Arena,691490,
900,DAL,1990-91,30.6,28,54,29,53,-4.57,0.31,-4.27,105.5,110.3,-4.8,94.2,0.288,0.087,0.528,0.485,13.3,28.3,0.219,0.495,12.6,67.9,0.245,Reunion Arena,683927,
901,DAL,1991-92,28.2,22,60,21,61,-7.65,0.18,-7.47,103,111.1,-8.1,94.4,0.281,0.112,0.501,0.458,13.1,31.2,0.211,0.483,11.5,67.8,0.259,Reunion Arena,634380,
902,DAL,1992-93,24.9,11,71,10,72,-15.2,0.52,-14.68,99.5,114.7,-15.2,99.5,0.299,0.115,0.495,0.455,15.1,31.1,0.21,0.519,13.5,68.1,0.347,Reunion Arena,554724,
903,DAL,1993-94,25.3,13,69,19,63,-8.7,0.5,-8.19,100.4,109.6,-9.2,94.5,0.275,0.109,0.492,0.449,15,33.7,0.205,0.513,15.8,66.1,0.283,Reunion Arena,526414,
904,DAL,1994-95,24.3,36,46,33,49,-2.9,0.51,-2.39,107.6,110.6,-3,94.7,0.301,0.163,0.509,0.466,13.9,38.9,0.221,0.519,13.7,69.8,0.208,Reunion Arena,678433,17502
905,DAL,1995-96,25.1,26,56,28,54,-4.9,0.19,-4.71,106.1,111.2,-5.1,95.4,0.266,0.274,0.507,0.47,13.3,34.1,0.192,0.526,14.7,68.6,0.222,Reunion Arena,684138,
906,DAL,1996-97,27.1,24,58,23,59,-6.35,-0.12,-6.47,101.1,108.2,-7.1,89,0.297,0.204,0.509,0.469,15.4,30,0.213,0.5,14.9,67.3,0.229,Reunion Arena,619178,
907,DAL,1997-98,26.3,20,62,24,58,-6.11,-0.22,-6.33,100.5,107.2,-6.7,89.9,0.257,0.175,0.498,0.458,13.6,27.6,0.194,0.488,14,65.1,0.195,Reunion Arena,503936,
908,DAL,1998-99,26.1,19,31,21,29,-2.4,-0.1,-2.5,102.3,104.9,-2.6,89,0.3,0.148,0.502,0.459,13.2,29.8,0.218,0.476,13.3,69.1,0.212,Reunion Arena,362837,
909,DAL,1999-00,26.3,40,42,39,43,-0.57,0.29,-0.29,106.6,107.2,-0.6,94.9,0.248,0.188,0.532,0.49,12.6,25.5,0.2,0.488,14.2,66.1,0.21,Reunion Arena,606177,
910,DAL,2000-01,26.6,53,29,53,29,4.28,0.32,4.61,107.1,102.6,4.5,93.2,0.291,0.202,0.544,0.498,13.1,24.1,0.231,0.467,14.2,70.7,0.244,Reunion Arena,680238,16591
911,DAL,2001-02,27.6,57,25,53,29,4.26,0.16,4.41,112.2,107.7,4.5,92.8,0.288,0.237,0.553,0.507,11.3,26.1,0.232,0.485,12.9,70.7,0.239,American Airlines Center,802783,19580
912,DAL,2002-03,28.1,60,22,62,20,7.78,0.12,7.9,110.7,102.3,8.4,92.5,0.257,0.239,0.543,0.498,10.9,25.4,0.213,0.473,14.8,70.9,0.221,American Airlines Center,816429,19913
913,DAL,2003-04,27.4,52,30,53,29,4.44,0.42,4.86,112.1,107.4,4.7,93.2,0.256,0.201,0.536,0.495,11.1,31.4,0.204,0.498,13.9,71.6,0.214,American Airlines Center,825594,20136
914,DAL,2004-05,27.7,58,24,57,25,5.74,0.11,5.86,110.3,104.1,6.2,92.7,0.346,0.19,0.545,0.492,12.5,28.6,0.273,0.472,14.3,70.2,0.239,American Airlines Center,822533,20062
915,DAL,2005-06,27.5,60,22,58,24,6.07,-0.11,5.96,111.8,105,6.8,87.8,0.364,0.175,0.55,0.495,13.1,31.8,0.285,0.475,13.7,72.2,0.257,American Airlines Center,824693,20114
916,DAL,2006-07,28.1,67,15,61,21,7.22,0.06,7.28,111.3,103.2,8.1,89.5,0.317,0.218,0.559,0.509,13.4,28.7,0.256,0.477,14.2,75,0.265,American Airlines Center,834411,20351
917,DAL,2007-08,28.9,51,31,54,28,4.54,0.16,4.7,111.1,106.1,5,90.2,0.318,0.215,0.554,0.502,12.3,26.7,0.259,0.474,11.7,75,0.252,American Airlines Center,831738,20286
918,DAL,2008-09,29,50,32,47,35,1.98,-0.3,1.68,110.5,108.4,2.1,91.5,0.274,0.241,0.55,0.504,12.1,26.6,0.224,0.493,12.3,74.6,0.225,American Airlines Center,821723,20042
919,DAL,2009-10,30.7,55,27,49,33,2.72,-0.06,2.66,109.2,106.3,2.9,92.5,0.277,0.222,0.552,0.506,12.3,24.3,0.226,0.495,13.6,73.7,0.206,American Airlines Center,819770,19994
920,DAL,2010-11,30.9,57,25,53,29,4.23,0.18,4.41,109.7,105,4.7,91.3,0.286,0.274,0.565,0.525,13.6,24.1,0.222,0.488,13,74.8,0.206,American Airlines Center,824162,20102
921,DAL,2011-12,31.3,36,30,35,31,0.95,0.83,1.78,103.3,102.3,1,91.4,0.246,0.271,0.527,0.489,13.4,23.4,0.19,0.479,13.9,74.8,0.203,American Airlines Center,671050,20335
922,DAL,2012-13,29.5,41,41,39,43,-0.6,0.36,-0.24,105.9,106.5,-0.6,94.1,0.242,0.236,0.544,0.506,13,21.8,0.192,0.492,13.3,73.1,0.227,American Airlines Center,821490,20036
923,DAL,2013-14,30.6,49,33,48,34,2.4,0.5,2.91,111.2,108.7,2.5,93.5,0.253,0.274,0.564,0.526,12.7,24.6,0.201,0.515,14.8,72.7,0.229,American Airlines Center,817982,19951
924,DAL,2014-15,29.9,50,32,49,33,2.9,0.46,3.36,109.5,106.4,3.1,95.2,0.262,0.296,0.55,0.515,11.9,23.6,0.197,0.503,14.7,72.2,0.204,American Airlines Center,827702,20188
925,DAL,2015-16,30.3,42,40,40,42,-0.3,0.29,-0.02,106.7,107,-0.3,94.3,0.265,0.339,0.544,0.502,12,20.6,0.211,0.504,12.8,76.2,0.198,American Airlines Center,825901,20144
926,DAL,2016-17,27.6,33,49,33,49,-2.93,0.4,-2.53,105.6,108.8,-3.2,92.2,0.225,0.366,0.541,0.505,11.6,18.1,0.18,0.529,14.4,77.6,0.218,American Airlines Center,811366,19789
927,DAL,2017-18,27.7,24,58,33,49,-3.04,0.34,-2.7,106.3,109.5,-3.2,95.6,0.217,0.382,0.544,0.513,11.6,18,0.166,0.532,12.9,78.9,0.193,American Airlines Center,811453,19792
928,DAL,2018-19,26.9,33,49,38,44,-1.28,0.42,-0.87,109.4,110.7,-1.3,99,0.291,0.422,0.555,0.519,12.7,22.7,0.216,0.522,11.6,77.5,0.191,American Airlines Center,820569,20014
929,PHO,1979-80,26.5,55,27,50,32,3.6,-0.35,3.25,105.6,102.2,3.4,104.8,0.341,0.039,0.548,0.498,16.4,30.4,0.263,0.483,16.5,66.9,0.213,Arizona Veterans Memorial Coliseum,,
930,PHO,1980-81,25.7,57,25,55,27,5.51,-0.68,4.83,104.6,99.4,5.2,104.7,0.332,0.022,0.537,0.492,17.1,35.1,0.247,0.471,17.5,68.2,0.244,Arizona Veterans Memorial Coliseum,482693,
931,PHO,1981-82,26.4,46,36,50,32,3.45,-0.4,3.05,105.8,102.4,3.4,99.5,0.302,0.024,0.538,0.495,15.9,32.2,0.229,0.47,14.6,68.5,0.233,Arizona Veterans Memorial Coliseum,486855,
932,PHO,1982-83,26.6,53,29,54,28,5.06,-0.45,4.61,105.1,100.1,5,101.6,0.306,0.022,0.54,0.499,16,32,0.227,0.458,15.9,67.5,0.235,Arizona Veterans Memorial Coliseum,465603,
933,PHO,1983-84,27.2,41,41,43,39,0.89,-0.24,0.65,108.9,108,0.9,101.4,0.305,0.04,0.556,0.514,15.1,31.4,0.232,0.501,15.3,68.3,0.277,Arizona Veterans Memorial Coliseum,445788,
934,PHO,1984-85,26.4,36,46,35,47,-2.11,-0.23,-2.34,104.7,106.8,-2.1,102.5,0.319,0.043,0.544,0.497,16.3,29.8,0.246,0.498,15,68.3,0.24,Arizona Veterans Memorial Coliseum,478788,
935,PHO,1985-86,26.3,32,50,33,49,-2.99,-0.17,-3.16,104.3,107.2,-2.9,104.8,0.384,0.026,0.552,0.506,17.7,31.3,0.279,0.495,15.1,68.3,0.279,Arizona Veterans Memorial Coliseum,455763,10826
936,PHO,1986-87,26,36,46,35,47,-2.44,-0.19,-2.63,108,110.3,-2.3,102,0.348,0.035,0.55,0.501,15.3,32.1,0.264,0.502,14.4,65.7,0.265,Arizona Veterans Memorial Coliseum,458347,
937,PHO,1987-88,27.5,28,54,30,52,-4.48,-0.33,-4.8,107,111.4,-4.4,101.2,0.301,0.049,0.538,0.494,14.6,31.5,0.23,0.507,13.4,68.3,0.265,Arizona Veterans Memorial Coliseum,452354,
938,PHO,1988-89,25.7,55,27,59,23,7.7,-0.86,6.84,113.1,105.7,7.4,104.5,0.344,0.064,0.56,0.509,12.8,30.8,0.272,0.476,13.5,67.7,0.225,Arizona Veterans Memorial Coliseum,447061,
939,PHO,1989-90,26.7,54,28,58,24,7.1,-0.01,7.09,113.1,106.2,6.9,100.7,0.38,0.076,0.565,0.509,13.3,31.1,0.302,0.478,12.8,68.8,0.209,Arizona Veterans Memorial Coliseum,578661,
940,PHO,1990-91,26.9,55,27,57,25,6.55,-0.06,6.49,112.6,106.1,6.5,101,0.372,0.06,0.558,0.506,13.5,33,0.287,0.474,13.1,68.5,0.227,Arizona Veterans Memorial Coliseum,589591,
941,PHO,1991-92,27,53,29,56,26,5.94,-0.26,5.68,112.1,106.2,5.9,99.4,0.332,0.083,0.556,0.508,13.1,31.7,0.258,0.471,13,67.7,0.223,Arizona Veterans Memorial Coliseum,594327,
942,PHO,1992-93,28.2,62,20,57,25,6.66,-0.39,6.27,113.3,106.7,6.6,99.8,0.358,0.154,0.566,0.521,14.2,33,0.27,0.496,13.9,69.2,0.206,America West Arena,779943,
