,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Age,W,L,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,Year
0,Philadelphia 76ers*,82,241.2,48.4,102.6,0.471,,,,48.4,102.6,0.471,25.9,40.7,0.635,,,72.1,26.8,,,,22.6,122.6,27.6,62.0,20.0,8.6,-0.64,7.96,98.1,91.2,6.9,124.3,0.397,,0.509,1968
1,St. Louis Hawks*,82,242.4,42.7,94.7,0.451,,,,42.7,94.7,0.451,27.5,37.9,0.726,,,64.9,24.2,,,,25.0,113.0,26.9,56.0,26.0,2.73,-0.36,2.37,98.4,96.0,2.4,113.7,0.401,,0.507,1968
2,Boston Celtics*,82,240.3,45.0,102.1,0.44,,,,45.0,102.1,0.44,26.2,36.4,0.721,,,69.1,21.9,,,,26.2,116.1,29.5,54.0,28.0,4.11,-0.24,3.87,95.7,92.4,3.3,121.1,0.356,,0.492,1968
3,Los Angeles Lakers*,82,242.1,46.7,97.9,0.477,,,,46.7,97.9,0.477,27.8,38.3,0.726,,,63.7,24.2,,,,26.2,121.2,27.8,52.0,30.0,5.61,-0.62,4.99,101.7,97.0,4.7,118.1,0.391,,0.528,1968
4,San Francisco Warriors*,82,241.5,44.3,104.7,0.423,,,,44.3,104.7,0.423,28.5,38.5,0.74,,,73.5,23.2,,,,27.6,117.0,26.2,43.0,39.0,-0.6,-0.07,-0.66,94.1,94.6,-0.5,123.6,0.367,,0.481,1968
5,New York Knicks*,82,242.4,44.9,98.4,0.456,,,,44.9,98.4,0.456,26.3,37.1,0.71,,,62.5,24.0,,,,28.8,116.1,25.6,43.0,39.0,1.82,-0.04,1.78,98.1,96.5,1.6,117.2,0.377,,0.506,1968
6,Detroit Pistons*,82,241.2,45.8,102.3,0.448,,,,45.8,102.3,0.448,27.0,38.2,0.708,,,66.5,20.7,,,,27.3,118.6,26.0,40.0,42.0,-2.0,0.3,-1.7,96.7,98.4,-1.7,122.0,0.373,,0.498,1968
7,Cincinnati Royals,82,241.5,44.9,95.9,0.468,,,,44.9,95.9,0.468,26.9,35.3,0.762,,,62.5,25.0,,,,24.6,116.6,28.0,39.0,43.0,-0.84,0.2,-0.64,101.1,101.8,-0.7,114.6,0.368,,0.523,1968
8,Baltimore Bullets,82,240.9,45.0,102.8,0.438,,,,45.0,102.8,0.438,27.4,36.5,0.75,,,66.2,18.7,,,,25.9,117.4,26.7,36.0,46.0,-0.39,0.16,-0.23,96.2,96.6,-0.4,121.5,0.355,,0.494,1968
9,Chicago Bulls*,82,241.5,42.5,99.2,0.429,,,,42.5,99.2,0.429,24.5,33.1,0.738,,,62.4,18.6,,,,26.0,109.5,25.3,29.0,53.0,-4.0,0.24,-3.76,94.1,97.5,-3.4,115.7,0.334,,0.481,1968
10,Seattle SuperSonics,82,240.9,46.0,104.8,0.439,,,,46.0,104.8,0.439,26.7,37.1,0.719,,,65.1,24.4,,,,28.9,118.7,25.1,23.0,59.0,-6.45,0.46,-6.0,95.4,100.6,-5.2,123.9,0.354,,0.49,1968
11,San Diego Rockets,82,240.9,43.5,104.2,0.417,,,,43.5,104.2,0.417,25.4,35.7,0.711,,,66.1,22.4,,,,26.7,112.4,26.4,15.0,67.0,-8.59,0.65,-7.94,91.8,98.8,-7.0,121.9,0.343,,0.468,1968
12,League Average 1968,82,241.4,45.0,100.8,0.446,,,,45.0,100.8,0.446,26.7,37.1,0.72,,,66.2,22.8,,,,26.3,116.6,26.8,,,0.0,0.0,0.0,96.8,96.8,,119.8,0.368,,0.498,1968
