,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Age,W,L,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,Year
0,Boston Celtics*,80,,45.2,109.6,0.413,,,,45.2,109.6,0.413,22.6,31.1,0.725,,,71.7,22.0,,,,26.6,113.0,28.4,59.0,21.0,7.9,-0.97,6.93,90.1,83.8,6.3,125.0,0.284,,0.458,1964
1,Cincinnati Royals*,80,,44.0,97.0,0.453,,,,44.0,97.0,0.453,26.8,35.4,0.759,,,67.5,24.0,,,,26.7,114.7,26.0,55.0,25.0,5.08,-0.65,4.43,98.9,94.5,4.4,115.9,0.364,,0.51,1964
2,San Francisco Warriors*,80,,42.6,97.2,0.438,,,,42.6,97.2,0.438,22.5,35.3,0.638,,,68.7,23.7,,,,24.7,107.7,25.5,48.0,32.0,5.11,-0.73,4.41,93.0,88.6,4.4,115.1,0.363,,0.477,1964
3,St. Louis Hawks*,80,,41.8,97.2,0.43,,,,41.8,97.2,0.43,26.4,34.9,0.757,,,62.0,23.8,,,,28.3,110.0,27.5,46.0,34.0,1.6,-0.21,1.39,95.4,94.0,1.4,114.6,0.359,,0.488,1964
4,Los Angeles Lakers*,80,,40.9,93.0,0.44,,,,40.9,93.0,0.44,27.9,36.4,0.766,,,62.8,21.0,,,,25.0,109.7,26.3,42.0,38.0,1.03,-0.14,0.87,97.9,97.0,0.9,111.6,0.391,,0.503,1964
5,Philadelphia 76ers*,80,,42.4,101.5,0.418,,,,42.4,101.5,0.418,27.3,35.6,0.766,,,64.2,20.5,,,,28.1,112.2,27.4,34.0,46.0,-4.39,0.64,-3.75,93.8,97.5,-3.7,119.4,0.351,,0.479,1964
6,Baltimore Bullets,80,,43.2,98.3,0.44,,,,43.2,98.3,0.44,25.5,37.0,0.688,,,68.3,17.8,,,,25.9,111.9,25.0,31.0,49.0,-1.79,0.2,-1.59,95.0,96.6,-1.6,117.0,0.376,,0.488,1964
7,Detroit Pistons,80,,41.8,99.3,0.421,,,,41.8,99.3,0.421,24.1,33.6,0.718,,,64.3,20.4,,,,27.9,107.8,25.5,23.0,57.0,-7.73,0.95,-6.77,92.5,99.1,-6.6,115.9,0.338,,0.472,1964
8,New York Knicks,80,,43.9,98.6,0.445,,,,43.9,98.6,0.445,24.4,35.7,0.684,,,63.3,19.5,,,,27.8,112.2,25.7,22.0,58.0,-6.81,0.9,-5.91,95.4,101.2,-5.8,117.1,0.362,,0.491,1964
9,League Average 1964,80,,42.9,99.1,0.433,,,,42.9,99.1,0.433,25.3,35.0,0.722,,,65.9,21.4,,,,26.8,111.0,26.3,,,0.0,0.0,0.0,94.6,94.6,,116.8,0.353,,0.485,1964
