,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Age,W,L,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,Year
0,Boston Celtics*,72,,39.0,101.8,0.383,,,,39.0,101.8,0.383,27.5,36.7,0.75,,,68.9,20.3,,,,25.7,105.5,27.0,44.0,28.0,5.36,-0.58,4.78,88.5,84.0,4.5,118.0,0.361,,0.448,1957
1,Syracuse Nationals*,72,,35.4,96.0,0.369,,,,35.4,96.0,0.369,28.8,36.3,0.794,,,60.4,17.8,,,,25.1,99.7,25.3,38.0,34.0,-1.42,0.39,-1.03,88.3,89.5,-1.2,112.3,0.378,,0.445,1957
2,Philadelphia Warriors*,72,,35.9,90.7,0.396,,,,35.9,90.7,0.396,28.6,36.9,0.776,,,59.8,20.4,,,,24.1,100.4,26.7,37.0,35.0,1.58,-0.04,1.54,92.4,90.9,1.5,108.0,0.407,,0.469,1957
3,New York Knicks,72,,35.7,92.3,0.387,,,,35.7,92.3,0.387,29.4,39.5,0.744,,,65.6,18.2,,,,25.3,100.8,27.0,36.0,36.0,-0.14,0.21,0.07,90.6,90.7,-0.1,110.5,0.428,,0.459,1957
4,Minneapolis Lakers*,72,,35.9,96.7,0.371,,,,35.9,96.7,0.371,30.5,40.3,0.757,,,63.6,16.6,,,,26.2,102.3,25.5,34.0,38.0,-0.81,-0.08,-0.89,88.5,89.2,-0.7,114.8,0.416,,0.447,1957
5,St. Louis Hawks*,72,,35.5,92.6,0.383,,,,35.5,92.6,0.383,27.5,37.6,0.73,,,63.4,20.2,,,,25.7,98.5,27.6,34.0,38.0,-0.08,-0.19,-0.27,89.0,89.1,-0.1,108.3,0.406,,0.451,1957
6,Fort Wayne Pistons*,72,,35.2,91.8,0.383,,,,35.2,91.8,0.383,26.0,34.9,0.747,,,59.6,19.4,,,,22.8,96.4,26.6,34.0,38.0,-2.31,0.13,-2.18,88.8,91.0,-2.2,107.7,0.38,,0.45,1957
7,Rochester Royals,72,,34.9,94.5,0.369,,,,34.9,94.5,0.369,23.6,33.4,0.707,,,57.9,18.0,,,,25.9,93.4,23.4,31.0,41.0,-2.19,0.12,-2.08,84.9,86.9,-2.0,109.4,0.353,,0.428,1957
8,League Average 1957,72,,35.9,94.6,0.38,,,,35.9,94.6,0.38,27.7,36.9,0.751,,,62.4,18.9,,,,25.1,99.6,26.2,,,0.0,-0.01,-0.01,88.9,88.9,,111.1,0.391,,0.449,1957
