,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Age,W,L,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,Year
0,Boston Celtics*,80,240.9,44.6,107.6,0.414,,,,44.6,107.6,0.414,23.6,32.3,0.731,,,71.9,22.2,,,,25.8,112.8,28.3,62.0,18.0,8.41,-0.93,7.46,90.9,84.2,6.7,123.6,0.3,,0.463,1965
1,Los Angeles Lakers*,80,241.9,41.7,95.4,0.437,,,,41.7,95.4,0.437,28.5,37.3,0.763,,,65.4,20.0,,,,25.0,111.9,26.4,49.0,31.0,1.91,-0.21,1.7,97.4,95.8,1.6,113.9,0.391,,0.5,1965
2,Cincinnati Royals*,80,241.6,43.5,97.5,0.447,,,,43.5,97.5,0.447,27.1,35.8,0.757,,,67.3,23.0,,,,24.9,114.2,26.5,48.0,32.0,2.28,-0.26,2.04,98.0,96.0,2.0,115.8,0.368,,0.504,1965
3,St. Louis Hawks*,80,240.3,40.9,96.4,0.424,,,,40.9,96.4,0.424,27.1,36.8,0.736,,,65.1,21.1,,,,25.9,108.8,27.1,45.0,35.0,3.03,-0.34,2.68,94.5,91.8,2.7,115.1,0.382,,0.483,1965
4,Philadelphia 76ers*,80,240.9,42.4,100.4,0.422,,,,42.4,100.4,0.422,27.8,37.6,0.738,,,65.6,21.2,,,,26.2,112.5,27.6,40.0,40.0,-0.15,0.02,-0.13,94.1,94.2,-0.1,119.1,0.375,,0.481,1965
5,Baltimore Bullets*,80,242.2,42.8,96.7,0.442,,,,42.8,96.7,0.442,28.1,39.3,0.714,,,66.2,21.0,,,,26.5,113.6,26.1,37.0,43.0,-2.21,0.25,-1.97,96.8,98.7,-1.9,116.2,0.407,,0.498,1965
6,Detroit Pistons,80,241.6,43.3,103.7,0.418,,,,43.3,103.7,0.418,21.8,31.7,0.689,,,67.4,20.1,,,,25.7,108.5,24.4,31.0,49.0,-3.41,0.38,-3.03,90.5,93.3,-2.8,119.2,0.306,,0.461,1965
7,New York Knicks,80,243.8,41.7,97.9,0.426,,,,41.7,97.9,0.426,23.9,33.6,0.713,,,65.1,19.4,,,,28.5,107.4,25.5,31.0,49.0,-3.66,0.41,-3.26,93.2,96.4,-3.2,113.5,0.343,,0.477,1965
8,San Francisco Warriors,80,241.9,41.5,103.1,0.403,,,,41.5,103.1,0.403,22.7,35.6,0.64,,,71.4,20.7,,,,25.0,105.8,25.6,17.0,63.0,-6.19,0.69,-5.49,87.7,92.8,-5.1,119.7,0.345,,0.446,1965
9,League Average 1965,80,241.7,42.5,99.8,0.426,,,,42.5,99.8,0.426,25.6,35.6,0.721,,,67.3,21.0,,,,25.9,110.6,26.4,,,0.0,0.0,0.0,93.6,93.6,,117.3,0.356,,0.479,1965
