,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Age,W,L,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,Year
0,Los Angeles Lakers*,82,240.9,47.8,97.5,0.49,,,,47.8,97.5,0.49,25.4,34.5,0.734,,,56.4,27.2,,,,20.0,121.0,29.5,69.0,13.0,12.28,-0.63,11.65,103.1,92.6,10.5,116.9,0.354,,0.537,1972
1,Milwaukee Bucks*,82,241.2,46.5,93.3,0.498,,,,46.5,93.3,0.498,21.6,29.3,0.739,,,52.1,26.3,,,,22.7,114.6,26.3,63.0,19.0,11.16,-0.46,10.7,102.6,92.6,10.0,111.2,0.313,,0.54,1972
2,Chicago Bulls*,82,241.2,43.2,95.8,0.451,,,,43.2,95.8,0.451,24.9,32.9,0.755,,,53.3,25.5,,,,24.0,111.2,27.5,57.0,25.0,8.26,-0.35,7.91,101.9,94.3,7.6,108.6,0.344,,0.504,1972
3,Boston Celtics*,82,240.6,46.6,102.8,0.453,,,,46.6,102.8,0.453,22.4,28.9,0.777,,,54.4,27.2,,,,24.8,115.6,27.6,56.0,26.0,4.78,-0.4,4.38,99.3,95.2,4.1,116.1,0.281,,0.5,1972
4,Golden State Warriors*,82,240.3,42.4,96.6,0.439,,,,42.4,96.6,0.439,23.4,30.5,0.767,,,54.3,22.6,,,,22.4,108.2,27.7,51.0,31.0,0.77,0.15,0.92,95.6,94.9,0.7,113.0,0.316,,0.492,1972
5,Phoenix Suns,82,242.4,43.9,96.1,0.457,,,,43.9,96.1,0.457,28.5,36.6,0.779,,,52.5,24.1,,,,24.7,116.3,26.6,49.0,33.0,5.5,0.07,5.57,101.3,96.5,4.8,113.7,0.381,,0.518,1972
6,New York Knicks*,82,241.5,42.9,93.6,0.459,,,,42.9,93.6,0.459,21.3,28.1,0.757,,,47.7,24.2,,,,23.2,107.1,28.8,48.0,34.0,2.45,-0.17,2.28,98.5,96.3,2.2,108.0,0.3,,0.506,1972
7,Seattle SuperSonics,82,240.9,42.2,90.9,0.464,,,,42.2,90.9,0.464,24.8,32.4,0.765,,,50.3,24.1,,,,21.2,109.2,26.7,47.0,35.0,0.46,0.4,0.86,98.5,98.1,0.4,110.5,0.357,,0.519,1972
8,Baltimore Bullets*,82,241.2,42.6,94.5,0.45,,,,42.6,94.5,0.45,22.0,29.0,0.759,,,50.7,22.1,,,,22.7,107.1,26.7,38.0,44.0,-1.17,-0.09,-1.26,96.5,97.6,-1.1,110.5,0.307,,0.499,1972
9,Atlanta Hawks*,82,240.6,42.5,92.3,0.46,,,,42.5,92.3,0.46,24.6,33.2,0.741,,,49.8,23.1,,,,24.0,109.5,26.8,36.0,46.0,-1.77,-0.17,-1.94,98.7,100.3,-1.6,110.7,0.36,,0.512,1972
10,Houston Rockets,82,240.6,43.8,100.9,0.434,,,,43.8,100.9,0.434,22.1,29.6,0.748,,,54.1,21.7,,,,24.3,109.7,24.6,34.0,48.0,-1.56,0.35,-1.22,95.4,96.8,-1.4,114.7,0.293,,0.481,1972
11,Cincinnati Royals,82,241.2,42.0,91.4,0.459,,,,42.0,91.4,0.459,23.8,31.4,0.756,,,45.8,24.6,,,,25.4,107.8,25.7,30.0,52.0,-4.04,-0.1,-4.13,98.0,101.6,-3.6,109.5,0.344,,0.512,1972
12,Philadelphia 76ers,82,241.2,43.6,98.3,0.444,,,,43.6,98.3,0.444,25.0,34.5,0.725,,,52.7,23.4,,,,26.9,112.2,28.3,30.0,52.0,-3.67,0.23,-3.44,96.4,99.5,-3.1,115.8,0.351,,0.495,1972
13,Detroit Pistons,82,241.5,42.5,93.5,0.454,,,,42.5,93.5,0.454,24.2,32.4,0.747,,,48.4,20.6,,,,23.8,109.1,26.2,26.0,56.0,-6.84,0.73,-6.11,96.1,102.2,-6.1,112.8,0.346,,0.506,1972
14,Cleveland Cavaliers,82,240.9,42.2,98.5,0.428,,,,42.2,98.5,0.428,21.4,29.1,0.736,,,50.0,25.1,,,,23.6,105.8,24.2,23.0,59.0,-7.63,-0.26,-7.9,94.5,101.4,-6.9,111.5,0.296,,0.475,1972
15,Buffalo Braves,82,241.5,41.6,92.2,0.451,,,,41.6,92.2,0.451,18.9,27.1,0.698,,,48.5,21.5,,,,25.7,102.0,25.0,22.0,60.0,-9.24,-0.2,-9.44,93.6,102.1,-8.5,108.3,0.294,,0.49,1972
16,Portland Trail Blazers,82,241.5,42.2,95.6,0.442,,,,42.2,95.6,0.442,22.4,30.4,0.736,,,48.7,25.5,,,,22.8,106.8,24.5,18.0,64.0,-9.73,0.9,-8.84,94.5,103.1,-8.6,112.3,0.318,,0.49,1972
17,League Average 1972,82,241.1,43.4,95.5,0.455,,,,43.4,95.5,0.455,23.3,31.2,0.748,,,51.1,24.1,,,,23.6,110.2,26.7,,,0.0,0.0,0.0,97.9,97.9,,112.0,0.326,,0.504,1972
