,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Age,W,L,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,Year
0,Fort Wayne Pistons*,72.0,,32.4,83.1,0.39,,,,32.4,83.1,0.39,27.6,37.6,0.733,,,53.1,24.1,,,,24.3,92.4,27.4,43.0,29.0,2.39,-0.38,2.01,91.2,88.9,2.3,100.7,0.453,,0.464,1955
1,Syracuse Nationals*,72.0,,32.8,88.1,0.372,,,,32.8,88.1,0.372,25.5,34.0,0.75,,,54.6,24.7,,,,23.0,91.1,26.1,43.0,29.0,1.39,-0.16,1.23,87.5,86.2,1.3,103.6,0.386,,0.442,1955
2,Minneapolis Lakers*,72.0,,34.8,89.8,0.388,,,,34.8,89.8,0.388,26.0,35.0,0.744,,,53.7,20.4,,,,26.9,95.6,26.9,40.0,32.0,1.17,-0.21,0.96,89.7,88.6,1.1,105.5,0.389,,0.455,1955
3,New York Knicks*,72.0,,33.2,85.4,0.389,,,,33.2,85.4,0.389,26.2,36.0,0.728,,,60.8,24.2,,,,22.0,92.7,27.1,38.0,34.0,0.08,0.03,0.11,90.2,90.1,0.1,101.8,0.422,,0.458,1955
4,Boston Celtics*,72.0,,36.2,90.7,0.399,,,,36.2,90.7,0.399,29.1,37.6,0.776,,,59.6,26.5,,,,25.8,101.5,26.7,36.0,36.0,-0.06,0.05,-0.03,93.0,93.0,0.0,108.6,0.414,,0.473,1955
5,Philadelphia Warriors,72.0,,33.2,86.6,0.384,,,,33.2,86.6,0.384,26.8,36.5,0.734,,,58.9,24.2,,,,23.8,93.2,25.2,33.0,39.0,-0.26,0.08,-0.19,89.6,89.9,-0.3,102.9,0.421,,0.454,1955
6,Rochester Royals*,72.0,,33.3,83.6,0.399,,,,33.3,83.6,0.399,24.1,33.6,0.718,,,54.2,23.5,,,,25.9,90.8,29.0,29.0,43.0,-1.63,0.19,-1.43,90.7,92.3,-1.6,99.5,0.402,,0.461,1955
7,Milwaukee Hawks,72.0,,30.4,83.9,0.362,,,,30.4,83.9,0.362,26.6,37.1,0.717,,,53.5,21.4,,,,26.4,87.4,26.7,26.0,46.0,-3.04,0.4,-2.66,86.4,89.4,-3.0,100.5,0.442,,0.436,1955
8,Baltimore Bullets,,,,,,,,,,,,,,,,,,,,,,,,24.4,,,,,,,,,,,,,1955
9,League Average 1955,72.0,,33.3,86.4,0.385,,,,33.3,86.4,0.385,26.5,35.9,0.738,,,56.1,23.6,,,,24.8,93.1,26.7,,,0.01,0.0,0.0,89.8,89.8,,102.9,0.416,,0.455,1955
