,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Age,W,L,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,Year
0,Portland Trail Blazers*,82,242.7,40.5,88.7,0.456,2.9,8.9,0.323,37.6,79.8,0.471,22.2,28.5,0.777,13.2,28.7,41.9,25.0,7.7,4.3,17.0,25.3,106.0,27.9,63.0,19.0,8.68,-0.21,8.47,112.8,104.3,8.5,100.5,0.344,0.123,0.554,1991
1,Chicago Bulls*,82,240.9,39.8,84.0,0.475,2.3,7.6,0.304,37.5,76.3,0.492,19.0,24.6,0.77,13.0,26.4,39.3,24.6,7.7,4.2,17.1,22.3,101.0,26.9,61.0,21.0,9.1,-0.53,8.57,114.6,105.2,9.4,95.6,0.296,0.06,0.56,1991
2,Los Angeles Lakers*,82,241.8,40.9,88.6,0.462,2.2,7.0,0.311,38.7,81.6,0.475,15.6,20.7,0.752,13.8,26.7,40.5,24.4,8.1,4.1,14.3,22.2,99.6,28.4,58.0,24.0,6.74,-0.01,6.73,112.1,105.0,7.1,94.1,0.327,0.108,0.551,1991
3,Boston Celtics*,82,241.5,41.7,92.2,0.452,2.3,7.5,0.313,39.4,84.7,0.465,20.0,25.4,0.786,14.5,26.9,41.4,25.0,9.0,4.6,13.7,20.2,105.7,28.2,56.0,26.0,5.82,-0.6,5.22,112.6,106.7,5.9,98.5,0.277,0.048,0.565,1991
4,San Antonio Spurs*,82,241.8,39.8,88.9,0.448,2.7,8.6,0.31,37.2,80.3,0.463,20.3,26.7,0.761,13.7,27.7,41.4,23.5,9.8,5.3,15.4,24.5,102.6,26.0,55.0,27.0,4.51,-0.21,4.3,107.8,103.3,4.5,98.6,0.352,0.043,0.544,1991
5,Phoenix Suns*,82,240.6,42.2,91.5,0.462,2.2,7.1,0.312,40.0,84.3,0.474,20.8,27.4,0.76,14.6,28.0,42.6,24.0,8.3,5.6,15.6,25.1,107.5,26.9,55.0,27.0,6.55,-0.06,6.49,112.6,106.1,6.5,101.0,0.372,0.06,0.558,1991
6,Utah Jazz*,82,241.2,39.2,85.5,0.459,2.5,8.1,0.307,36.7,77.4,0.475,19.7,25.5,0.773,13.4,27.8,41.2,22.7,8.4,5.0,15.3,24.3,100.7,28.7,54.0,28.0,3.33,-0.15,3.18,108.6,105.1,3.5,95.3,0.378,0.07,0.559,1991
7,Houston Rockets*,82,242.1,40.7,89.2,0.456,2.2,7.6,0.295,38.5,81.6,0.471,19.6,25.4,0.771,15.1,29.6,44.8,24.0,8.7,4.4,17.3,21.8,103.2,27.3,52.0,30.0,3.5,-0.23,3.27,107.4,103.9,3.5,98.5,0.302,0.136,0.53,1991
8,Detroit Pistons*,82,241.5,37.2,82.2,0.453,1.9,6.1,0.312,35.3,76.1,0.464,20.4,26.5,0.77,12.2,27.7,40.0,21.2,7.1,3.5,13.7,24.2,96.8,30.5,50.0,32.0,3.27,-0.19,3.08,108.2,104.6,3.6,91.9,0.322,0.064,0.523,1991
9,Milwaukee Bucks*,82,242.1,40.1,82.6,0.486,2.3,7.0,0.329,37.8,75.6,0.5,21.4,28.2,0.759,13.5,28.2,41.7,24.7,8.6,5.6,18.7,23.3,104.0,29.3,48.0,34.0,2.48,-0.15,2.33,109.7,107.2,2.5,96.1,0.323,0.108,0.55,1991
10,Golden State Warriors*,82,241.5,43.2,89.6,0.482,2.7,8.4,0.322,40.5,81.3,0.499,25.9,34.1,0.758,15.8,30.2,46.0,26.4,8.9,5.3,18.7,26.9,115.0,26.5,44.0,38.0,1.63,0.09,1.72,111.9,110.3,1.6,103.6,0.376,0.109,0.559,1991
11,Philadelphia 76ers*,82,244.9,43.1,90.6,0.476,2.4,8.0,0.297,40.7,82.6,0.493,16.9,21.9,0.774,14.1,30.7,44.8,27.1,8.4,4.8,14.4,22.7,105.6,28.4,44.0,38.0,-0.18,-0.21,-0.39,107.9,108.1,-0.2,95.7,0.342,0.089,0.542,1991
12,Atlanta Hawks*,82,240.9,43.5,88.0,0.494,2.6,7.6,0.349,40.9,80.5,0.508,19.4,25.2,0.767,13.2,30.5,43.6,28.3,8.4,4.4,15.7,24.8,109.0,29.0,43.0,39.0,0.77,-0.05,0.72,110.9,110.1,0.8,98.6,0.352,0.116,0.54,1991
13,Seattle SuperSonics*,82,242.4,40.1,82.2,0.488,2.5,7.7,0.327,37.5,74.5,0.504,22.8,30.0,0.759,13.5,26.2,39.7,22.6,8.9,5.4,18.1,22.2,105.4,26.2,41.0,41.0,1.23,0.08,1.31,109.7,108.5,1.2,96.2,0.301,0.06,0.542,1991
14,Indiana Pacers*,82,241.5,43.6,89.0,0.49,2.3,7.4,0.305,41.4,81.6,0.507,22.6,30.4,0.743,14.7,28.2,42.9,25.2,8.9,4.3,15.4,24.8,112.1,26.4,41.0,41.0,-0.39,0.02,-0.37,111.7,112.1,-0.4,99.4,0.354,0.107,0.566,1991
15,New York Knicks*,82,243.4,41.6,87.3,0.476,2.2,6.6,0.336,39.4,80.7,0.488,17.9,23.2,0.773,13.6,28.5,42.1,24.4,8.8,4.5,15.1,22.1,103.3,28.1,39.0,43.0,-0.23,-0.2,-0.43,107.1,107.3,-0.2,95.0,0.315,0.082,0.544,1991
16,Cleveland Cavaliers,82,241.8,42.2,86.8,0.486,2.0,6.2,0.323,40.2,80.6,0.498,17.9,23.4,0.764,13.4,29.2,42.6,26.2,8.7,4.8,15.0,23.1,104.2,26.8,33.0,49.0,-2.46,0.14,-2.33,106.1,108.7,-2.6,95.1,0.317,0.07,0.534,1991
17,Los Angeles Clippers,82,241.5,40.7,87.2,0.467,2.4,7.2,0.336,38.3,80.0,0.478,23.2,30.8,0.752,13.6,30.4,44.0,24.2,9.4,6.0,16.0,23.0,107.0,25.1,31.0,51.0,-3.45,0.29,-3.16,103.0,106.5,-3.5,99.9,0.311,0.059,0.511,1991
18,Orlando Magic,82,241.2,42.1,88.2,0.478,2.7,8.2,0.331,39.4,80.0,0.493,22.9,29.9,0.767,13.4,30.5,43.8,25.8,8.6,8.0,14.8,24.2,109.9,26.1,31.0,51.0,-3.98,0.18,-3.79,105.9,109.9,-4.0,99.5,0.337,0.104,0.521,1991
19,Washington Bullets,82,242.1,41.4,88.8,0.466,2.0,6.8,0.299,39.4,82.0,0.48,21.5,27.9,0.771,15.0,30.2,45.2,22.7,8.9,6.0,15.3,21.7,106.4,26.5,30.0,52.0,-4.98,0.14,-4.84,103.0,108.1,-5.1,97.5,0.279,0.039,0.509,1991
20,Minnesota Timberwolves,82,242.7,40.5,82.7,0.49,2.1,6.2,0.339,38.4,76.5,0.502,20.5,27.1,0.757,13.3,29.0,42.4,26.1,6.2,6.2,15.1,20.6,103.5,26.2,29.0,53.0,-3.93,0.18,-3.75,106.7,110.9,-4.2,92.3,0.286,0.052,0.499,1991
21,Dallas Mavericks,82,241.5,40.8,84.7,0.482,2.2,7.1,0.305,38.6,77.6,0.498,20.7,28.0,0.74,13.6,30.4,44.0,24.7,7.9,4.9,14.0,21.7,104.5,30.6,28.0,54.0,-4.57,0.31,-4.27,105.5,110.3,-4.8,94.2,0.288,0.087,0.528,1991
22,New Jersey Nets,82,241.8,41.1,87.9,0.468,1.7,5.4,0.308,39.5,82.5,0.479,23.5,30.4,0.773,15.7,30.8,46.5,21.2,10.1,6.6,17.7,23.1,107.5,26.2,26.0,56.0,-4.51,-0.02,-4.53,102.9,107.4,-4.5,99.3,0.301,0.079,0.5,1991
23,Charlotte Hornets,82,241.5,41.6,84.3,0.493,1.9,6.1,0.316,39.6,78.2,0.507,23.0,29.8,0.772,14.0,30.7,44.7,26.1,8.2,5.9,17.1,22.5,108.0,25.5,26.0,56.0,-5.24,0.3,-4.95,105.0,110.4,-5.4,97.3,0.315,0.059,0.526,1991
24,Sacramento Kings,82,240.3,38.3,81.5,0.47,1.9,6.0,0.316,36.4,75.6,0.482,24.9,32.8,0.761,14.2,31.0,45.2,23.3,8.5,5.5,16.0,22.5,103.5,25.9,25.0,57.0,-6.78,0.51,-6.27,102.0,109.1,-7.1,94.7,0.309,0.085,0.512,1991
