,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Age,W,L,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,Year
0,Minneapolis Lakers*,70,,30.9,79.4,0.39,,,,30.9,79.4,0.39,23.4,31.7,0.739,,,48.7,19.3,,,,27.4,85.3,26.5,48.0,22.0,6.13,-0.59,5.54,90.1,83.6,6.5,93.7,0.4,,0.457,1953
1,Syracuse Nationals*,71,,27.4,75.1,0.364,,,,27.4,75.1,0.364,30.9,41.5,0.745,,,48.9,20.5,,,,30.0,85.6,25.8,47.0,24.0,4.31,-0.69,3.62,90.6,86.0,4.6,92.8,0.554,,0.459,1953
2,New York Knicks*,70,,29.4,76.3,0.386,,,,29.4,76.3,0.386,26.7,37.9,0.704,,,57.2,22.5,,,,29.3,85.5,26.0,47.0,23.0,5.23,-0.84,4.39,90.5,85.0,5.5,93.1,0.497,,0.46,1953
3,Boston Celtics*,71,,30.7,78.2,0.392,,,,30.7,78.2,0.392,26.8,36.9,0.728,,,54.4,23.5,,,,26.9,88.1,25.4,46.0,25.0,2.37,-0.43,1.94,91.7,89.3,2.4,94.7,0.471,,0.467,1953
4,Rochester Royals*,70,,28.8,77.6,0.372,,,,28.8,77.6,0.372,28.6,39.2,0.73,,,51.8,21.7,,,,31.6,86.3,29.2,44.0,26.0,2.8,-0.18,2.62,89.8,86.9,2.9,94.1,0.506,,0.455,1953
5,Fort Wayne Pistons*,69,,27.2,75.8,0.359,,,,27.2,75.8,0.359,26.7,36.1,0.738,,,51.4,20.8,,,,30.7,81.0,26.5,36.0,33.0,-0.12,0.29,0.17,87.6,87.7,-0.1,91.1,0.476,,0.442,1953
6,Indianapolis Olympians*,71,,25.8,73.3,0.351,,,,25.8,73.3,0.351,23.1,32.1,0.719,,,46.8,18.0,,,,24.9,74.6,25.5,28.0,43.0,-2.79,0.49,-2.3,84.9,88.0,-3.1,86.3,0.438,,0.427,1953
7,Milwaukee Hawks,71,,26.4,74.9,0.352,,,,26.4,74.9,0.352,23.1,33.8,0.685,,,48.3,20.1,,,,29.9,75.9,26.3,27.0,44.0,-1.51,0.51,-2.49,84.0,85.7,-1.7,88.4,0.451,,0.423,1953
8,Baltimore Bullets*,70,,29.8,80.2,0.371,,,,29.8,80.2,0.371,24.9,36.3,0.686,,,53.2,21.6,,,,30.6,84.4,26.3,16.0,54.0,-6.41,0.62,-5.8,86.8,93.4,-6.6,95.2,0.453,,0.439,1953
9,Philadelphia Warriors,69,,28.8,80.4,0.358,,,,28.8,80.4,0.358,22.6,33.3,0.679,,,54.5,21.9,,,,27.0,80.2,26.0,12.0,57.0,-7.2,0.91,-7.75,83.9,91.4,-7.5,94.7,0.414,,0.422,1953
10,League Average 1953,70,,28.5,77.1,0.37,,,,28.5,77.1,0.37,25.7,35.9,0.716,,,51.5,21.0,,,,28.8,82.7,26.5,,,0.29,0.01,0.01,88.0,87.7,,92.4,0.465,,0.445,1953
