,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Age,W,L,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,Year
0,Milwaukee Bucks*,82,240.9,45.4,92.3,0.492,,,,45.4,92.3,0.492,16.2,21.2,0.763,13.8,35.1,49.0,27.1,8.9,6.3,20.7,22.7,107.1,27.3,59.0,23.0,8.04,-0.42,7.61,101.2,93.6,7.6,105.4,0.23,,0.527,1974
1,Boston Celtics*,82,241.2,44.3,97.2,0.456,,,,44.3,97.2,0.456,20.5,25.6,0.8,16.8,37.5,54.3,26.7,6.8,3.7,21.9,22.8,109.0,28.5,56.0,26.0,3.91,-0.49,3.42,98.6,95.1,3.5,110.0,0.263,,0.503,1974
2,Chicago Bulls*,82,241.2,40.1,90.0,0.446,,,,40.1,90.0,0.446,21.8,28.2,0.771,13.9,31.9,45.8,22.8,9.3,3.9,20.6,22.9,102.0,28.7,54.0,28.0,3.3,-0.1,3.2,96.7,93.6,3.1,105.0,0.314,,0.498,1974
3,Detroit Pistons*,82,240.9,42.1,91.6,0.459,,,,42.1,91.6,0.459,20.2,26.4,0.764,14.6,32.7,47.3,23.9,9.7,5.1,21.5,23.5,104.4,26.2,52.0,30.0,4.06,-0.04,4.02,97.6,93.8,3.8,106.5,0.288,,0.505,1974
4,New York Knicks*,82,241.2,42.4,91.3,0.465,,,,42.4,91.3,0.465,16.5,21.2,0.777,11.7,33.2,44.9,23.6,6.8,3.4,17.8,23.0,101.3,28.5,49.0,33.0,2.76,-0.34,2.42,97.4,94.7,2.7,103.5,0.232,,0.504,1974
5,Los Angeles Lakers*,82,240.9,43.1,95.2,0.453,,,,43.1,95.2,0.453,22.9,29.8,0.769,16.6,36.2,52.9,26.6,9.7,8.0,23.3,24.8,109.2,28.7,47.0,35.0,0.87,-0.02,0.85,97.4,96.6,0.8,111.7,0.313,,0.504,1974
6,Capital Bullets*,82,240.6,42.4,96.2,0.441,,,,42.4,96.2,0.441,17.0,22.8,0.745,15.7,35.2,50.9,21.6,8.6,5.4,19.1,21.3,101.9,26.4,47.0,35.0,1.49,-0.3,1.19,95.6,94.2,1.4,106.3,0.237,,0.48,1974
7,Golden State Warriors,82,240.3,45.4,97.8,0.464,,,,45.4,97.8,0.464,19.1,24.6,0.778,16.8,37.0,53.8,24.3,8.1,5.5,20.3,23.1,109.9,28.4,44.0,38.0,2.56,-0.15,2.42,100.8,98.4,2.4,108.9,0.252,,0.506,1974
8,Buffalo Braves*,82,241.8,45.5,94.7,0.48,,,,45.5,94.7,0.48,20.7,27.1,0.765,14.0,34.5,48.5,26.4,9.6,7.3,22.3,22.9,111.6,24.4,42.0,40.0,-0.11,-0.08,-0.19,99.3,99.4,-0.1,111.6,0.286,,0.524,1974
9,Seattle SuperSonics,82,240.9,43.7,98.2,0.445,,,,43.7,98.2,0.445,19.6,25.5,0.767,16.1,33.0,49.1,25.7,8.4,3.6,19.8,25.3,107.0,26.0,36.0,46.0,-2.55,0.26,-2.29,96.8,99.1,-2.3,110.2,0.26,,0.489,1974
10,Atlanta Hawks,82,240.9,43.9,94.4,0.465,,,,43.9,94.4,0.465,20.8,27.6,0.752,15.1,33.1,48.2,24.3,9.2,4.0,22.2,25.3,108.6,27.1,35.0,47.0,-1.43,-0.04,-1.47,97.7,99.0,-1.3,110.8,0.292,,0.51,1974
11,Kansas City-Omaha Kings,82,240.3,41.1,89.5,0.459,,,,41.1,89.5,0.459,19.9,25.7,0.774,13.6,31.1,44.7,21.3,9.7,4.7,21.8,23.4,102.0,26.7,33.0,49.0,-3.73,0.49,-3.24,96.0,99.5,-3.5,106.1,0.287,,0.506,1974
12,Houston Rockets,82,242.1,43.5,90.6,0.48,,,,43.5,90.6,0.48,20.5,25.3,0.812,13.0,31.6,44.5,27.0,8.9,5.0,20.5,25.7,107.4,25.4,32.0,50.0,-0.13,-0.2,-0.34,100.3,100.5,-0.2,106.1,0.279,,0.528,1974
13,Phoenix Suns,82,240.9,43.4,94.2,0.46,,,,43.4,94.2,0.46,21.2,27.3,0.777,13.3,33.2,46.5,25.0,8.0,3.7,20.3,25.9,107.9,26.2,30.0,52.0,-3.56,0.36,-3.2,98.1,101.3,-3.2,109.6,0.289,,0.508,1974
14,Cleveland Cavaliers,82,240.9,41.7,94.9,0.439,,,,41.7,94.9,0.439,16.8,21.8,0.772,15.5,30.4,45.9,25.0,7.3,3.6,18.8,23.5,100.3,26.5,29.0,53.0,-4.33,0.17,-4.16,96.0,100.1,-4.1,104.1,0.23,,0.48,1974
15,Portland Trail Blazers,82,240.6,43.7,93.7,0.467,,,,43.7,93.7,0.467,19.4,25.8,0.753,15.3,31.7,47.0,25.7,9.7,4.2,22.2,25.0,106.8,24.7,27.0,55.0,-4.78,0.48,-4.3,98.2,102.6,-4.4,108.5,0.275,,0.509,1974
16,Philadelphia 76ers,82,240.6,40.6,93.9,0.432,,,,40.6,93.9,0.432,19.9,25.8,0.771,14.4,32.0,46.4,21.9,9.2,2.7,20.3,24.0,101.2,28.4,25.0,57.0,-6.37,0.42,-5.94,93.1,99.0,-5.9,108.3,0.275,,0.48,1974
17,League Average 1974,82,241.0,43.1,93.9,0.459,,,,43.1,93.9,0.459,19.6,25.4,0.771,14.7,33.5,48.2,24.6,8.7,4.7,20.8,23.8,105.7,27.0,,,0.0,0.0,0.0,97.7,97.7,,107.8,0.27,,0.503,1974
