,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Age,W,L,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,Year
0,Philadelphia 76ers*,81,240.9,48.3,100.0,0.483,,,,48.3,100.0,0.483,28.6,42.1,0.68,,,70.4,26.4,,,,23.5,125.2,27.0,68.0,13.0,9.44,-0.94,8.5,101.5,93.9,7.6,122.9,0.421,,0.528,1967
1,Boston Celtics*,81,242.2,46.0,102.8,0.447,,,,46.0,102.8,0.447,27.4,36.6,0.748,,,70.4,24.2,,,,26.4,119.3,29.6,60.0,21.0,8.05,-0.81,7.24,97.5,91.0,6.5,121.2,0.356,,0.502,1967
2,San Francisco Warriors*,81,241.9,47.1,108.9,0.433,,,,47.1,108.9,0.433,28.2,37.3,0.756,,,73.8,23.2,,,,26.2,122.4,25.3,44.0,37.0,2.86,-0.29,2.58,95.3,93.1,2.2,127.4,0.343,,0.488,1967
3,Cincinnati Royals*,81,240.9,45.1,100.5,0.449,,,,45.1,100.5,0.449,26.9,34.6,0.777,,,64.2,22.9,,,,25.6,117.1,26.4,39.0,42.0,-0.26,0.03,-0.23,98.4,98.6,-0.2,118.6,0.345,,0.506,1967
4,St. Louis Hawks*,81,241.2,43.8,98.8,0.443,,,,43.8,98.8,0.443,26.0,36.8,0.708,,,64.4,21.1,,,,26.8,113.6,26.7,39.0,42.0,-1.6,0.16,-1.44,96.1,97.4,-1.3,117.7,0.372,,0.494,1967
5,Los Angeles Lakers*,81,241.5,46.7,104.5,0.447,,,,46.7,104.5,0.447,27.1,36.0,0.751,,,66.9,23.5,,,,26.8,120.5,27.1,36.0,45.0,0.35,-0.04,0.31,97.4,97.1,0.3,123.0,0.345,,0.501,1967
6,New York Knicks*,81,240.6,44.9,99.1,0.453,,,,44.9,99.1,0.453,26.6,36.8,0.722,,,63.9,22.0,,,,26.0,116.4,25.2,36.0,45.0,-3.05,0.31,-2.74,97.9,100.5,-2.6,118.5,0.371,,0.505,1967
7,Chicago Bulls*,81,240.6,44.0,105.0,0.419,,,,44.0,105.0,0.419,25.1,34.4,0.732,,,65.4,22.6,,,,27.2,113.2,25.6,33.0,48.0,-3.74,0.37,-3.37,92.3,95.4,-3.1,122.2,0.327,,0.471,1967
8,Detroit Pistons,81,241.9,43.5,105.5,0.412,,,,43.5,105.5,0.412,24.3,33.6,0.723,,,68.0,18.1,,,,27.1,111.3,25.2,30.0,51.0,-5.53,0.55,-4.98,90.9,95.4,-4.5,121.5,0.319,,0.463,1967
9,Baltimore Bullets,81,241.2,45.2,105.9,0.427,,,,45.2,105.9,0.427,25.0,34.2,0.731,,,66.0,20.4,,,,26.6,115.5,27.5,20.0,61.0,-6.52,0.65,-5.87,93.4,98.6,-5.2,123.0,0.323,,0.477,1967
10,League Average 1967,81,241.3,45.5,103.1,0.441,,,,45.5,103.1,0.441,26.5,36.2,0.732,,,67.3,22.4,,,,26.2,117.4,26.6,,,0.0,0.0,0.0,96.1,96.1,,121.6,0.352,,0.493,1967
