,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Age,W,L,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,Year
0,Boston Celtics*,82,242.4,44.1,90.1,0.49,2.0,5.1,0.384,42.1,84.9,0.496,23.3,29.9,0.779,15.0,30.0,44.9,26.8,9.9,3.8,18.8,24.1,113.5,27.3,61.0,21.0,7.79,-0.42,7.37,109.4,101.9,7.5,102.6,0.332,0.057,0.55,1980
1,Los Angeles Lakers*,82,242.4,47.5,89.9,0.529,0.2,1.2,0.2,47.3,88.6,0.534,19.8,25.5,0.775,13.2,32.4,45.6,29.4,9.4,6.7,20.0,21.8,115.1,26.2,60.0,22.0,5.9,-0.51,5.4,109.5,103.9,5.6,104.1,0.284,0.014,0.569,1980
2,Philadelphia 76ers*,82,242.1,43.0,87.3,0.492,0.3,1.5,0.216,42.6,85.7,0.497,22.9,29.6,0.772,14.5,32.1,46.6,27.1,9.7,8.0,20.8,22.7,109.1,27.0,59.0,23.0,4.22,-0.18,4.04,105.0,101.0,4.0,103.0,0.34,0.017,0.544,1980
3,Seattle SuperSonics*,82,241.8,43.3,92.3,0.47,0.7,2.3,0.312,42.6,90.0,0.474,21.1,27.5,0.768,16.8,31.1,47.9,24.9,9.1,5.2,18.2,22.7,108.5,27.0,56.0,26.0,4.66,-0.42,4.24,105.8,101.2,4.6,101.8,0.298,0.025,0.52,1980
4,Phoenix Suns*,82,240.9,43.5,88.2,0.493,0.8,3.4,0.243,42.7,84.8,0.504,23.2,30.1,0.773,13.1,30.0,43.0,27.8,11.1,4.2,19.9,22.6,111.1,26.5,55.0,27.0,3.6,-0.35,3.25,105.6,102.2,3.4,104.8,0.341,0.039,0.548,1980
5,Atlanta Hawks*,82,241.2,39.8,85.7,0.464,0.2,0.9,0.173,39.6,84.8,0.467,24.9,32.3,0.771,16.7,29.3,46.0,23.3,9.5,6.6,18.2,28.0,104.5,26.1,50.0,32.0,2.91,-0.09,2.83,105.2,102.3,2.9,98.9,0.376,0.011,0.523,1980
6,Milwaukee Bucks*,82,241.5,44.9,92.1,0.488,0.6,1.9,0.323,44.3,90.2,0.491,19.6,25.6,0.764,15.2,29.2,44.4,27.8,9.5,6.2,18.2,23.6,110.1,25.3,49.0,33.0,3.94,-0.37,3.57,106.8,102.9,3.9,102.4,0.278,0.021,0.532,1980
7,Kansas City Kings*,82,241.5,43.7,91.3,0.478,0.3,1.4,0.219,43.4,89.9,0.482,20.4,27.4,0.743,14.5,29.6,44.1,25.9,10.5,4.3,17.5,26.0,108.0,25.5,47.0,35.0,3.13,-0.32,2.82,104.0,101.0,3.0,103.2,0.3,0.015,0.522,1980
8,San Antonio Spurs*,82,240.9,47.0,94.4,0.498,0.6,2.5,0.252,46.4,91.9,0.505,24.7,30.8,0.801,14.1,30.7,44.7,28.4,9.4,4.1,19.4,25.6,119.4,26.9,41.0,41.0,-0.38,0.13,-0.24,108.6,109.0,-0.4,109.5,0.327,0.027,0.553,1980
9,Houston Rockets*,82,243.0,43.9,91.4,0.48,1.3,4.6,0.274,42.6,86.8,0.491,21.7,28.4,0.766,17.0,27.0,44.0,26.2,9.5,4.5,19.1,23.5,110.8,27.3,41.0,41.0,0.17,0.1,0.27,108.1,108.0,0.1,101.2,0.31,0.051,0.533,1980
10,New York Knicks,82,241.2,46.4,93.6,0.496,0.5,2.3,0.22,45.9,91.2,0.503,20.7,27.7,0.747,15.1,28.1,43.2,27.6,10.7,5.6,19.7,26.4,114.0,24.1,39.0,43.0,-1.15,0.19,-0.96,106.5,107.5,-1.0,106.5,0.296,0.025,0.539,1980
11,Washington Bullets*,82,242.4,43.6,95.1,0.458,0.9,2.9,0.307,42.7,92.2,0.463,18.9,25.0,0.758,16.3,33.2,49.5,26.8,6.5,5.4,16.8,23.1,107.0,29.0,39.0,43.0,-2.55,0.28,-2.27,103.2,105.7,-2.5,102.6,0.263,0.031,0.504,1980
12,Portland Trail Blazers*,82,241.2,41.6,87.4,0.476,0.3,1.6,0.197,41.2,85.8,0.481,19.0,25.6,0.743,15.8,29.4,45.2,23.1,8.6,5.8,18.9,23.9,102.5,26.3,38.0,44.0,-0.82,-0.05,-0.87,103.4,104.3,-0.9,98.6,0.293,0.018,0.519,1980
13,Indiana Pacers,82,242.1,44.4,93.8,0.473,1.1,3.8,0.28,43.3,89.9,0.481,21.4,28.5,0.751,17.0,28.4,45.4,26.2,11.0,6.5,18.5,24.1,111.2,25.3,37.0,45.0,-0.7,0.16,-0.54,105.5,106.2,-0.7,104.4,0.303,0.041,0.523,1980
14,Cleveland Cavaliers,82,243.0,46.5,98.1,0.474,0.4,2.3,0.193,46.0,95.8,0.481,20.8,26.9,0.772,15.9,29.0,45.0,25.7,9.3,4.2,16.7,23.6,114.1,27.4,37.0,45.0,0.34,0.09,0.43,106.7,106.4,0.3,105.6,0.274,0.023,0.519,1980
15,San Diego Clippers,82,240.9,43.0,91.4,0.47,2.2,6.6,0.326,40.8,84.8,0.482,19.5,26.4,0.736,15.8,28.1,43.9,20.6,8.1,3.5,17.6,23.1,107.6,27.6,35.0,47.0,-4.15,0.18,-3.97,105.7,109.8,-4.1,101.4,0.289,0.072,0.522,1980
