,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
1966,NYK,LAL,BOS,CIN,DET,BAL,PHI,SFW,STL,,,,,,,,,,,,,,,,,,,,,
1967,NYK,LAL,BOS,CHI,CIN,DET,BAL,PHI,SFW,STL,,,,,,,,,,,,,,,,,,,,
1968,SEA,NYK,LAL,CHI,BOS,CIN,DET,SDR,STL,PHI,SFW,BAL,,,,,,,,,,,,,,,,,,
1969,SEA,LAL,NYK,ATL,CHI,BOS,CIN,MIL,DET,SDR,PHO,PHI,SFW,BAL,,,,,,,,,,,,,,,,
1970,SEA,NYK,LAL,CHI,BOS,ATL,CIN,MIL,DET,SDR,PHO,PHI,SFW,BAL,,,,,,,,,,,,,,,,
1971,SEA,NYK,LAL,BOS,ATL,CHI,CIN,MIL,CLE,BUF,DET,POR,SDR,PHO,PHI,SFW,BAL,,,,,,,,,,,,,
1972,PHI,SEA,NYK,LAL,CHI,BOS,ATL,CIN,CLE,MIL,BUF,DET,POR,GSW,PHO,HOU,BAL,,,,,,,,,,,,,
1973,PHI,SEA,KCO,NYK,LAL,ATL,BOS,CHI,CLE,MIL,BUF,DET,POR,GSW,PHO,HOU,BAL,,,,,,,,,,,,,
1974,SEA,KCO,NYK,LAL,BOS,CHI,ATL,CLE,MIL,BUF,DET,CAP,POR,GSW,HOU,PHO,PHI,,,,,,,,,,,,,
1975,SEA,KCO,NYK,LAL,CHI,ATL,BOS,CLE,MIL,BUF,HOU,DET,POR,GSW,WSB,PHO,PHI,NOJ,,,,,,,,,,,,
1976,PHI,SEA,NYK,LAL,ATL,KCK,BOS,CHI,MIL,CLE,BUF,DET,POR,GSW,WSB,PHO,HOU,NOJ,,,,,,,,,,,,
1977,KCK,DET,HOU,SEA,LAL,ATL,DEN,WSB,PHI,NOJ,CLE,NYN,SAS,POR,GSW,PHO,NYK,BOS,CHI,MIL,BUF,IND,,,,,,,,
1978,KCK,DET,HOU,SEA,LAL,ATL,DEN,WSB,PHI,NOJ,CLE,SAS,POR,GSW,PHO,NJN,NYK,CHI,BOS,MIL,BUF,IND,,,,,,,,
