,Year,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,MVP_Rank,MVP_First,MVP_Pts Won,MVP_Pts Max,MVP_Share
93,2007,Dale Davis,C,37,DET,46,6,10.1,0.7,1.6,0.446,0.0,0.0,0.0,0.7,1.6,0.446,0.446,0.4,0.6,0.654,1.3,1.7,3.0,0.3,0.2,0.7,0.3,1.3,1.8,13.2,0.486,0.0,0.351,15.1,20.0,17.5,3.9,1.2,5.7,14.9,10.3,0.5,0.8,1.3,0.132,-2.0,1.3,-0.8,0.1,,,,,
94,2007,Paul Davis,C,22,LAC,31,0,5.8,0.7,1.7,0.423,0.0,0.0,0.0,0.7,1.7,0.423,0.423,0.2,0.3,0.7,0.7,0.7,1.4,0.2,0.2,0.2,0.3,0.9,1.6,11.2,0.452,0.0,0.192,14.1,15.2,14.6,6.4,1.8,2.2,12.4,16.5,0.0,0.2,0.2,0.066,-3.2,-0.4,-3.5,-0.1,,,,,
95,2007,Ricky Davis,SF,27,MIN,81,81,37.3,6.2,13.4,0.465,1.5,3.8,0.397,4.7,9.6,0.492,0.521,3.0,3.5,0.839,0.7,3.2,3.9,4.8,1.0,0.3,2.6,2.3,17.0,15.9,0.566,0.285,0.262,2.2,10.1,6.2,21.9,1.4,0.6,14.7,21.9,3.9,1.9,5.7,0.091,1.2,-0.7,0.5,1.8,,,,,
96,2007,Carlos Delfino,SG,24,DET,82,1,16.7,1.9,4.6,0.415,0.6,1.7,0.333,1.3,2.9,0.462,0.476,0.9,1.1,0.787,0.8,2.4,3.2,1.1,0.6,0.1,0.7,1.2,5.2,12.8,0.515,0.367,0.237,5.8,17.2,11.5,10.2,1.8,0.5,12.8,16.5,1.0,1.9,2.9,0.101,-0.5,0.4,-0.1,0.7,,,,,
97,2007,Luol Deng,SF,21,CHI,82,82,37.5,7.7,14.9,0.517,0.0,0.1,0.143,7.7,14.8,0.519,0.518,3.4,4.4,0.777,1.8,5.3,7.1,2.5,1.2,0.6,1.9,2.0,18.8,18.7,0.56,0.006,0.295,5.5,15.9,10.8,11.8,1.6,1.2,10.0,22.2,5.7,5.6,11.3,0.176,1.7,1.3,3.0,3.9,,,,,
98,2007,Boris Diaw,PF,24,PHO,73,59,31.1,4.2,7.8,0.538,0.2,0.6,0.333,4.0,7.2,0.555,0.551,1.1,1.6,0.683,1.2,3.1,4.3,4.8,0.4,0.5,2.1,2.4,9.7,13.0,0.57,0.079,0.211,4.9,11.0,8.1,21.7,0.6,1.2,19.9,15.4,3.0,1.5,4.6,0.097,0.3,0.2,0.4,1.4,,,,,
99,2007,Yakhouba Diawara,SG,24,DEN,64,19,18.4,1.6,4.6,0.342,0.8,2.7,0.288,0.8,1.9,0.418,0.426,0.5,0.8,0.66,0.4,1.3,1.7,0.9,0.5,0.1,0.6,2.1,4.4,5.3,0.45,0.582,0.182,2.6,7.8,5.3,6.5,1.3,0.4,10.5,12.8,-0.2,0.8,0.5,0.021,-3.9,0.0,-3.9,-0.6,,,,,
100,2007,Dan Dickau,PG,28,POR,50,3,8.9,1.1,3.0,0.358,0.3,1.2,0.262,0.8,1.8,0.422,0.411,0.8,1.1,0.792,0.1,0.7,0.9,1.4,0.3,0.0,0.5,1.1,3.3,12.2,0.476,0.404,0.351,1.9,10.3,6.0,26.3,1.7,0.2,13.4,21.3,0.3,0.2,0.4,0.048,-1.1,-1.1,-2.2,0.0,,,,,
101,2007,Travis Diener,PG,24,ORL,26,0,11.1,1.3,3.1,0.425,0.7,1.9,0.36,0.6,1.2,0.533,0.538,0.5,0.6,0.8,0.1,0.6,0.7,1.3,0.2,0.0,0.5,1.0,3.8,11.6,0.566,0.625,0.188,1.3,6.3,3.9,20.0,0.7,0.0,13.1,16.0,0.5,0.2,0.7,0.113,1.0,-0.7,0.3,0.2,,,,,
102,2007,DeSagana Diop,C,25,DAL,81,9,18.3,0.9,1.9,0.47,0.0,0.0,0.0,0.9,1.9,0.473,0.47,0.6,1.1,0.558,2.0,3.4,5.4,0.4,0.5,1.4,0.8,3.0,2.3,10.6,0.503,0.007,0.57,13.8,21.6,17.8,2.8,1.4,5.8,25.0,7.9,0.7,3.1,3.8,0.123,-2.8,2.6,-0.2,0.7,,,,,
