,0
AGE,30.4
W,54.0
L,28.0
PW,52
PL,30
MOV,3.76
SOS,-0.4
SRS,3.36
ORtg,108.5
DRtg,104.3
NRtg,4.2
PACE,88.4
FTr,0.251
3PAr,0.248
TS%,0.548
eFG%,0.513
TOV%,11.7
ORB%,22.1
FT/FGA,0.191
eFG%,0.487
TOV%,11.7
DRB%,78.0
FT/FGA,0.191
ARENA,AT&T Center
ATTENDANCE,749048
ATTENDANCE/G,18269
TEAM,SAS
SEASON,2008-09
