,0
AGE,24.3
W,19.0
L,31.0
PW,22
PL,28
MOV,-1.86
SOS,0.11
SRS,-1.75
ORtg,100.4
DRtg,102.4
NRtg,-2.0
PACE,91.5
FTr,0.259
3PAr,0.182
TS%,0.501
eFG%,0.469
TOV%,14.8
ORB%,30.6
FT/FGA,0.179
eFG%,0.465
TOV%,15.6
DRB%,69.4
FT/FGA,0.287
ARENA,FleetCenter
ATTENDANCE,440602
ATTENDANCE/G,
TEAM,BOS
SEASON,1998-99
