,0
AGE,26.5
W,46.0
L,36.0
PW,44
PL,38
MOV,1.17
SOS,0.27
SRS,1.44
ORtg,109.0
DRtg,107.9
NRtg,1.1
PACE,104.2
FTr,0.297
3PAr,0.023
TS%,0.534
eFG%,0.488
TOV%,13.3
ORB%,33.5
FT/FGA,0.232
eFG%,0.496
TOV%,14.9
DRB%,67.6
FT/FGA,0.266
ARENA,Pontiac Silverdome
ATTENDANCE,695233
ATTENDANCE/G,16384
TEAM,DET
SEASON,1985-86
