,0
AGE,28.6
W,39.0
L,43.0
PW,41
PL,41
MOV,0.01
SOS,0.41
SRS,0.42
ORtg,102.7
DRtg,102.7
NRtg,0.0
PACE,102.4
FTr,0.276
3PAr,0.032
TS%,0.514
eFG%,0.476
TOV%,14.4
ORB%,30.5
FT/FGA,0.199
eFG%,0.472
TOV%,14.3
DRB%,67.8
FT/FGA,0.212
ARENA,Capital Centre
ATTENDANCE,377238
ATTENDANCE/G,
TEAM,WAS
SEASON,1980-81
