,0
AGE,25.3
W,13.0
L,69.0
PW,19
PL,63
MOV,-8.7
SOS,0.5
SRS,-8.19
ORtg,100.4
DRtg,109.6
NRtg,-9.2
PACE,94.5
FTr,0.275
3PAr,0.109
TS%,0.492
eFG%,0.449
TOV%,15.0
ORB%,33.7
FT/FGA,0.205
eFG%,0.513
TOV%,15.8
DRB%,66.1
FT/FGA,0.283
ARENA,Reunion Arena
ATTENDANCE,526414
ATTENDANCE/G,
TEAM,DAL
SEASON,1993-94
