,0
AGE,26.6
W,66.0
L,16.0
PW,65
PL,17
MOV,8.93
SOS,-0.25
SRS,8.68
ORtg,112.4
DRtg,102.4
NRtg,10.0
PACE,88.7
FTr,0.312
3PAr,0.259
TS%,0.56
eFG%,0.519
TOV%,12.5
ORB%,27.7
FT/FGA,0.236
eFG%,0.468
TOV%,13.5
DRB%,74.6
FT/FGA,0.226
ARENA,Quicken Loans Arena
ATTENDANCE,841000
ATTENDANCE/G,20512
TEAM,CLE
SEASON,2008-09
