,0
AGE,24.9
W,18.0
L,64.0
PW,24
PL,58
MOV,-5.99
SOS,-0.16
SRS,-6.15
ORtg,101.1
DRtg,107.5
NRtg,-6.4
PACE,92.3
FTr,0.306
3PAr,0.128
TS%,0.497
eFG%,0.455
TOV%,13.3
ORB%,29.5
FT/FGA,0.217
eFG%,0.497
TOV%,14.7
DRB%,70.9
FT/FGA,0.269
ARENA,Charlotte Coliseum
ATTENDANCE,591701
ATTENDANCE/G,14432
TEAM,CHA
SEASON,2004-05
