,0
AGE,26.2
W,20.0
L,62.0
PW,23
PL,59
MOV,-6.93
SOS,0.38
SRS,-6.55
ORtg,101.9
DRtg,109.2
NRtg,-7.3
PACE,94.7
FTr,0.352
3PAr,0.085
TS%,0.525
eFG%,0.471
TOV%,16.4
ORB%,30.1
FT/FGA,0.272
eFG%,0.488
TOV%,12.8
DRB%,68.0
FT/FGA,0.259
ARENA,Target Center
ATTENDANCE,733419
ATTENDANCE/G,
TEAM,MIN
SEASON,1993-94
