,0
AGE,26.0
W,51.0
L,31.0
PW,48
PL,34
MOV,2.61
SOS,-0.51
SRS,2.1
ORtg,110.1
DRtg,107.6
NRtg,2.5
PACE,103.5
FTr,0.317
3PAr,0.04
TS%,0.536
eFG%,0.496
TOV%,13.6
ORB%,35.5
FT/FGA,0.232
eFG%,0.497
TOV%,14.8
DRB%,67.2
FT/FGA,0.243
ARENA,The Summit
ATTENDANCE,604644
ATTENDANCE/G,13513
TEAM,HOU
SEASON,1985-86
