,0
AGE,24.1
W,22.0
L,60.0
PW,26
PL,56
MOV,-6.21
SOS,0.75
SRS,-5.46
ORtg,102.5
DRtg,108.4
NRtg,-5.9
PACE,105.1
FTr,0.344
3PAr,0.021
TS%,0.527
eFG%,0.478
TOV%,16.1
ORB%,31.7
FT/FGA,0.255
eFG%,0.499
TOV%,14.3
DRB%,70.5
FT/FGA,0.282
ARENA,Market Square Arena
ATTENDANCE,438377
ATTENDANCE/G,
TEAM,IND
SEASON,1984-85
