,0
AGE,25.4
W,42.0
L,40.0
PW,41
PL,41
MOV,-0.07
SOS,-0.33
SRS,-0.4
ORtg,109.6
DRtg,109.7
NRtg,-0.1
PACE,100.8
FTr,0.284
3PAr,0.403
TS%,0.556
eFG%,0.52
TOV%,13.0
ORB%,23.8
FT/FGA,0.211
eFG%,0.512
TOV%,11.6
DRB%,76.4
FT/FGA,0.19
ARENA,Barclays Center
ATTENDANCE,612597
ATTENDANCE/G,14941
TEAM,BRK
SEASON,2018-19
