,0
AGE,29.6
W,55.0
L,27.0
PW,50
PL,32
MOV,3.24
SOS,0.38
SRS,3.62
ORtg,105.7
DRtg,102.2
NRtg,3.5
PACE,92.0
FTr,0.276
3PAr,0.184
TS%,0.531
eFG%,0.489
TOV%,12.6
ORB%,24.7
FT/FGA,0.214
eFG%,0.492
TOV%,14.5
DRB%,75.3
FT/FGA,0.183
ARENA,FedEx Forum
ATTENDANCE,710502
ATTENDANCE/G,17329
TEAM,MEM
SEASON,2014-15
