,0
AGE,30.0
W,51.0
L,31.0
PW,52
PL,30
MOV,4.29
SOS,0.13
SRS,4.42
ORtg,112.7
DRtg,108.2
NRtg,4.5
PACE,96.1
FTr,0.312
3PAr,0.329
TS%,0.574
eFG%,0.537
TOV%,12.0
ORB%,21.5
FT/FGA,0.233
eFG%,0.506
TOV%,12.1
DRB%,76.9
FT/FGA,0.211
ARENA,STAPLES Center
ATTENDANCE,782609
ATTENDANCE/G,19088
TEAM,LAC
SEASON,2016-17
