,0
AGE,26.8
W,39.0
L,43.0
PW,36
PL,46
MOV,-1.83
SOS,0.39
SRS,-1.44
ORtg,108.1
DRtg,110.1
NRtg,-2.0
PACE,91.0
FTr,0.313
3PAr,0.191
TS%,0.544
eFG%,0.498
TOV%,13.5
ORB%,27.0
FT/FGA,0.241
eFG%,0.505
TOV%,13.8
DRB%,71.7
FT/FGA,0.275
ARENA,EnergySolutions Arena
ATTENDANCE,799982
ATTENDANCE/G,19512
TEAM,UTA
SEASON,2010-11
