,0
AGE,26.4
W,42.0
L,40.0
PW,43
PL,39
MOV,0.52
SOS,-0.65
SRS,-0.13
ORtg,102.2
DRtg,101.7
NRtg,0.5
PACE,88.0
FTr,0.298
3PAr,0.211
TS%,0.51
eFG%,0.463
TOV%,13.5
ORB%,27.4
FT/FGA,0.227
eFG%,0.463
TOV%,14.5
DRB%,73.4
FT/FGA,0.26
ARENA,AmericanAirlines Arena
ATTENDANCE,624809
ATTENDANCE/G,15239
TEAM,MIA
SEASON,2003-04
