,0
AGE,22.7
W,26.0
L,56.0
PW,28
PL,54
MOV,-4.76
SOS,0.07
SRS,-4.69
ORtg,106.4
DRtg,111.6
NRtg,-5.2
PACE,90.4
FTr,0.34
3PAr,0.178
TS%,0.534
eFG%,0.486
TOV%,14.7
ORB%,31.4
FT/FGA,0.255
eFG%,0.513
TOV%,14.1
DRB%,69.5
FT/FGA,0.275
ARENA,Philips Arena
ATTENDANCE,617817
ATTENDANCE/G,15069
TEAM,ATL
SEASON,2005-06
