,0
AGE,26.8
W,26.0
L,56.0
PW,28
PL,54
MOV,-4.56
SOS,0.67
SRS,-3.89
ORtg,104.7
DRtg,109.7
NRtg,-5.0
PACE,92.4
FTr,0.286
3PAr,0.193
TS%,0.499
eFG%,0.456
TOV%,13.9
ORB%,36.4
FT/FGA,0.212
eFG%,0.503
TOV%,14.1
DRB%,69.0
FT/FGA,0.244
ARENA,Continental Airlines Arena
ATTENDANCE,670628
ATTENDANCE/G,
TEAM,NJN
SEASON,1996-97
