,0
AGE,27.9
W,59.0
L,23.0
PW,61
PL,21
MOV,7.49
SOS,-0.37
SRS,7.12
ORtg,111.4
DRtg,103.3
NRtg,8.1
PACE,92.0
FTr,0.34
3PAr,0.35
TS%,0.573
eFG%,0.536
TOV%,13.6
ORB%,24.6
FT/FGA,0.246
eFG%,0.477
TOV%,12.2
DRB%,77.4
FT/FGA,0.205
ARENA,Amway Arena
ATTENDANCE,715901
ATTENDANCE/G,17461
TEAM,ORL
SEASON,2009-10
