,0
AGE,28.1
W,58.0
L,24.0
PW,56
PL,26
MOV,5.73
SOS,0.0
SRS,5.74
ORtg,109.6
DRtg,103.9
NRtg,5.7
PACE,100.6
FTr,0.354
3PAr,0.02
TS%,0.566
eFG%,0.521
TOV%,15.5
ORB%,30.5
FT/FGA,0.265
eFG%,0.48
TOV%,16.5
DRB%,65.0
FT/FGA,0.261
ARENA,The Spectrum
ATTENDANCE,498901
ATTENDANCE/G,
TEAM,PHI
SEASON,1981-82
