,0
AGE,24.4
W,38.0
L,44.0
PW,38
PL,44
MOV,-1.13
SOS,0.54
SRS,-0.6
ORtg,108.3
DRtg,109.5
NRtg,-1.2
PACE,94.2
FTr,0.343
3PAr,0.178
TS%,0.526
eFG%,0.472
TOV%,13.9
ORB%,35.0
FT/FGA,0.267
eFG%,0.482
TOV%,12.2
DRB%,67.9
FT/FGA,0.22
ARENA,The Arena in Oakland
ATTENDANCE,634935
ATTENDANCE/G,15486
TEAM,GSW
SEASON,2002-03
