,0
AGE,26.0
W,49.0
L,33.0
PW,55
PL,27
MOV,5.01
SOS,-0.49
SRS,4.52
ORtg,104.9
DRtg,99.6
NRtg,5.3
PACE,93.6
FTr,0.313
3PAr,0.186
TS%,0.534
eFG%,0.493
TOV%,14.7
ORB%,28.6
FT/FGA,0.229
eFG%,0.473
TOV%,16.2
DRB%,74.3
FT/FGA,0.252
ARENA,United Center
ATTENDANCE,912364
ATTENDANCE/G,22253
TEAM,CHI
SEASON,2006-07
