,0
AGE,27.0
W,21.0
L,61.0
PW,23
PL,59
MOV,-6.84
SOS,0.67
SRS,-6.17
ORtg,103.4
DRtg,110.6
NRtg,-7.2
PACE,94.0
FTr,0.276
3PAr,0.22
TS%,0.513
eFG%,0.473
TOV%,12.1
ORB%,25.4
FT/FGA,0.204
eFG%,0.518
TOV%,12.1
DRB%,76.3
FT/FGA,0.231
ARENA,STAPLES Center
ATTENDANCE,768244
ATTENDANCE/G,18738
TEAM,LAL
SEASON,2014-15
