,0
AGE,26.5
W,44.0
L,38.0
PW,48
PL,34
MOV,2.45
SOS,0.13
SRS,2.58
ORtg,102.4
DRtg,99.9
NRtg,2.5
PACE,97.0
FTr,0.336
3PAr,0.019
TS%,0.526
eFG%,0.484
TOV%,16.2
ORB%,31.6
FT/FGA,0.239
eFG%,0.478
TOV%,18.1
DRB%,67.8
FT/FGA,0.257
ARENA,Madison Square Garden (IV)
ATTENDANCE,438823
ATTENDANCE/G,7355.0
TEAM,NYK
SEASON,1982-83
