,0
AGE,23.2
W,50.0
L,32.0
PW,51
PL,31
MOV,3.49
SOS,0.06
SRS,3.55
ORtg,108.3
DRtg,104.6
NRtg,3.7
PACE,93.1
FTr,0.333
3PAr,0.185
TS%,0.547
eFG%,0.494
TOV%,13.9
ORB%,28.6
FT/FGA,0.268
eFG%,0.483
TOV%,14.0
DRB%,73.6
FT/FGA,0.229
ARENA,Oklahoma City Arena
ATTENDANCE,738149
ATTENDANCE/G,18004
TEAM,OKC
SEASON,2009-10
