,0
AGE,28.1
W,63.0
L,19.0
PW,64
PL,18
MOV,9.09
SOS,-0.41
SRS,8.68
ORtg,111.1
DRtg,101.5
NRtg,9.6
PACE,95.1
FTr,0.344
3PAr,0.105
TS%,0.547
eFG%,0.501
TOV%,13.7
ORB%,34.4
FT/FGA,0.256
eFG%,0.479
TOV%,18.2
DRB%,67.3
FT/FGA,0.272
ARENA,Seattle Center Coliseum
ATTENDANCE,601369
ATTENDANCE/G,
TEAM,SEA
SEASON,1993-94
