,0
AGE,25.1
W,29.0
L,53.0
PW,26
PL,56
MOV,-6.06
SOS,0.44
SRS,-5.63
ORtg,103.9
DRtg,109.9
NRtg,-6.0
PACE,99.6
FTr,0.301
3PAr,0.094
TS%,0.525
eFG%,0.482
TOV%,14.3
ORB%,28.5
FT/FGA,0.225
eFG%,0.493
TOV%,13.9
DRB%,64.2
FT/FGA,0.233
ARENA,ARCO Arena (II)
ATTENDANCE,697574
ATTENDANCE/G,
TEAM,SAC
SEASON,1991-92
