,0
AGE,26.6
W,60.0
L,22.0
PW,59
PL,23
MOV,7.27
SOS,-0.13
SRS,7.14
ORtg,108.7
DRtg,101.8
NRtg,6.9
PACE,103.6
FTr,0.313
3PAr,0.018
TS%,0.546
eFG%,0.5
TOV%,15.7
ORB%,36.3
FT/FGA,0.241
eFG%,0.461
TOV%,16.6
DRB%,65.6
FT/FGA,0.28
ARENA,MECCA Arena
ATTENDANCE,448366
ATTENDANCE/G,
TEAM,MIL
SEASON,1980-81
