,Player,Year,All Star,All Star Starter
0,Kevin Durant,2012,True,True
1,Kobe Bryant,2012,True,True
2,Blake Griffin,2012,True,True
3,Chris Paul,2012,True,True
4,Andrew Bynum,2012,True,True
5,Russell Westbrook,2012,True,False
6,Kevin Love,2012,True,False
7,Dirk Nowitzki,2012,True,False
8,Marc Gasol,2012,True,False
9,Tony Parker,2012,True,False
10,LaMarcus Aldridge,2012,True,False
11,Steve Nash,2012,True,False
12,Dwyane Wade,2012,True,True
13,LeBron James,2012,True,True
14,Dwight Howard,2012,True,True
15,Carmelo Anthony,2012,True,True
16,Derrick Rose,2012,True,True
17,Chris Bosh,2012,True,False
18,Deron Williams,2012,True,False
19,Rajon Rondo,2012,True,False
20,Andre Iguodala,2012,True,False
21,Paul Pierce,2012,True,False
22,Roy Hibbert,2012,True,False
23,Luol Deng,2012,True,False
