,Player,Year,All Star,All Star Starter
0,Dwight Howard,2008,True,True
1,LeBron James,2008,True,True
2,Jason Kidd,2008,True,True
3,Dwyane Wade,2008,True,True
4,Chris Bosh,2008,True,True
5,Ray Allen,2008,True,False
6,Chauncey Billups,2008,True,False
7,Richard Hamilton,2008,True,False
8,Rasheed Wallace,2008,True,False
9,Joe Johnson,2008,True,False
10,Paul Pierce,2008,True,False
11,Antawn Jamison,2008,True,False
12,Tim Duncan,2008,True,True
13,Carmelo Anthony,2008,True,True
14,Allen Iverson,2008,True,True
15,Yao Ming,2008,True,True
16,Kobe Bryant,2008,True,True
17,Brandon Roy,2008,True,False
18,Chris Paul,2008,True,False
19,Dirk Nowitzki,2008,True,False
20,Amar'e Stoudemire,2008,True,False
21,Steve Nash,2008,True,False
22,Carlos Boozer,2008,True,False
23,David West,2008,True,False
