,Player,Year,All Star,All Star Starter
0,Allen Iverson,2005,True,True
1,LeBron James,2005,True,True
2,Shaquille O'Neal,2005,True,True
3,Vince Carter,2005,True,True
4,Grant Hill,2005,True,True
5,Dwyane Wade,2005,True,False
6,Jermaine O'Neal,2005,True,False
7,Zydrunas Ilgauskas,2005,True,False
8,Paul Pierce,2005,True,False
9,Gilbert Arenas,2005,True,False
10,Ben Wallace,2005,True,False
11,Antawn Jamison,2005,True,False
12,Kobe Bryant,2005,True,True
13,Tracy McGrady,2005,True,True
14,Yao Ming,2005,True,True
15,Tim Duncan,2005,True,True
16,Kevin Garnett,2005,True,True
17,Ray Allen,2005,True,False
18,Manu Ginóbili,2005,True,False
19,Dirk Nowitzki,2005,True,False
20,Amar'e Stoudemire,2005,True,False
21,Steve Nash,2005,True,False
22,Shawn Marion,2005,True,False
23,Rashard Lewis,2005,True,False
