,Player,Year,All Star,All Star Starter
0,Stephen Curry,2022,True,True
1,LeBron James,2022,True,True
2,Giannis Antetokounmpo,2022,True,True
3,DeMar DeRozan,2022,True,True
4,Nikola Jokić,2022,True,True
5,Luka Dončić,2022,True,False
6,Darius Garland,2022,True,False
7,Jarrett Allen,2022,True,False
8,Fred VanVleet,2022,True,False
9,Jimmy Butler,2022,True,False
10,Chris Paul,2022,True,False
11,Joel Embiid,2022,True,True
12,Jayson Tatum,2022,True,True
13,Trae Young,2022,True,True
14,Ja Morant,2022,True,True
15,Andrew Wiggins,2022,True,True
16,Devin Booker,2022,True,False
17,Dejounte Murray,2022,True,False
18,LaMelo Ball,2022,True,False
19,Khris Middleton,2022,True,False
20,Karl-Anthony Towns,2022,True,False
21,Rudy Gobert,2022,True,False
22,Zach LaVine,2022,True,False
