,Player,Year,All Star,All Star Starter
0,Dwyane Wade,2006,True,True
1,LeBron James,2006,True,True
2,Allen Iverson,2006,True,True
3,Shaquille O'Neal,2006,True,True
4,Vince Carter,2006,True,True
5,Ben Wallace,2006,True,False
6,Rasheed Wallace,2006,True,False
7,Chris Bosh,2006,True,False
8,Chauncey Billups,2006,True,False
9,Paul Pierce,2006,True,False
10,Richard Hamilton,2006,True,False
11,Gilbert Arenas,2006,True,False
12,Steve Nash,2006,True,True
13,Tracy McGrady,2006,True,True
14,Kobe Bryant,2006,True,True
15,Tim Duncan,2006,True,True
16,Yao Ming,2006,True,True
17,Tony Parker,2006,True,False
18,Ray Allen,2006,True,False
19,Shawn Marion,2006,True,False
20,Elton Brand,2006,True,False
21,Kevin Garnett,2006,True,False
22,Dirk Nowitzki,2006,True,False
23,Pau Gasol,2006,True,False
