,Player,Year,All Star,All Star Starter
0,LeBron James,2010,True,True
1,Dwyane Wade,2010,True,True
2,Dwight Howard,2010,True,True
3,Joe Johnson,2010,True,True
4,Kevin Garnett,2010,True,True
5,Chris Bosh,2010,True,False
6,Rajon Rondo,2010,True,False
7,Gerald Wallace,2010,True,False
8,Derrick Rose,2010,True,False
9,Al Horford,2010,True,False
10,David Lee,2010,True,False
11,Paul Pierce,2010,True,False
12,Carmelo Anthony,2010,True,True
13,Dirk Nowitzki,2010,True,True
14,Steve Nash,2010,True,True
15,Amar'e Stoudemire,2010,True,True
16,Tim Duncan,2010,True,True
17,Deron Williams,2010,True,False
18,Chauncey Billups,2010,True,False
19,Pau Gasol,2010,True,False
20,Kevin Durant,2010,True,False
21,Zach Randolph,2010,True,False
22,Chris Kaman,2010,True,False
23,Jason Kidd,2010,True,False
