,Player,Year,All Star,All Star Starter
0,Karl Malone,1993,True,True
1,Charles Barkley,1993,True,True
2,John Stockton,1993,True,True
3,David Robinson,1993,True,True
4,Clyde Drexler,1993,True,True
5,Dan Majerle,1993,True,False
6,Tim Hardaway,1993,True,False
7,Hakeem Olajuwon,1993,True,False
8,Terry Porter,1993,True,False
9,Danny Manning,1993,True,False
10,Sean Elliott,1993,True,False
11,Shawn Kemp,1993,True,False
12,Michael Jordan,1993,True,True
13,Isiah Thomas,1993,True,True
14,Scottie Pippen,1993,True,True
15,Shaquille O'Neal,1993,True,True
16,Larry Johnson,1993,True,True
17,Patrick Ewing,1993,True,False
18,Mark Price,1993,True,False
19,Brad Daugherty,1993,True,False
20,Dominique Wilkins,1993,True,False
21,Joe Dumars,1993,True,False
22,Detlef Schrempf,1993,True,False
23,Larry Nance,1993,True,False
