,Player,Year,All Star,All Star Starter
0,Julius Erving,1981,True,True
1,Eddie Johnson,1981,True,True
2,Artis Gilmore,1981,True,True
3,Reggie Theus,1981,True,True
4,Larry Bird,1981,True,True
5,Robert Parish,1981,True,False
6,Tiny Archibald,1981,True,False
7,Micheal Ray Richardson,1981,True,False
8,Marques Johnson,1981,True,False
9,Bobby Jones,1981,True,False
10,Mike Mitchell,1981,True,False
11,Paul Westphal,1981,True,True
12,George Gervin,1981,True,True
13,Kareem Abdul-Jabbar,1981,True,True
14,Walter Davis,1981,True,True
15,Adrian Dantley,1981,True,True
16,Jamaal Wilkes,1981,True,False
17,Dennis Johnson,1981,True,False
18,Moses Malone,1981,True,False
19,Truck Robinson,1981,True,False
20,Jack Sikma,1981,True,False
21,Otis Birdsong,1981,True,False
