,Player,Year,All Star,All Star Starter
0,Luka Dončić,2021,True,True
1,Stephen Curry,2021,True,True
2,Giannis Antetokounmpo,2021,True,True
3,Nikola Jokić,2021,True,True
4,LeBron James,2021,True,True
5,Chris Paul,2021,True,False
6,Jaylen Brown,2021,True,False
7,Paul George,2021,True,False
8,Damian Lillard,2021,True,False
9,Domantas Sabonis,2021,True,False
10,Rudy Gobert,2021,True,False
11,Kyrie Irving,2021,True,True
12,Bradley Beal,2021,True,True
13,Kawhi Leonard,2021,True,True
14,Jayson Tatum,2021,True,True
15,Zion Williamson,2021,True,True
16,James Harden,2021,True,False
17,Donovan Mitchell,2021,True,False
18,Zach LaVine,2021,True,False
19,Nikola Vučević,2021,True,False
20,Julius Randle,2021,True,False
21,Mike Conley,2021,True,False
