,Player,Year,All Star,All Star Starter
0,Michael Jordan,1990,True,True
1,Isiah Thomas,1990,True,True
2,Patrick Ewing,1990,True,True
3,Larry Bird,1990,True,True
4,Charles Barkley,1990,True,True
5,Robert Parish,1990,True,False
6,Kevin McHale,1990,True,False
7,Joe Dumars,1990,True,False
8,Dominique Wilkins,1990,True,False
9,Reggie Miller,1990,True,False
10,Scottie Pippen,1990,True,False
11,Dennis Rodman,1990,True,False
12,Hakeem Olajuwon,1990,True,True
13,Magic Johnson,1990,True,True
14,James Worthy,1990,True,True
15,John Stockton,1990,True,True
16,A.C. Green,1990,True,True
17,David Robinson,1990,True,False
18,Fat Lever,1990,True,False
19,Tom Chambers,1990,True,False
20,Rolando Blackman,1990,True,False
21,Clyde Drexler,1990,True,False
22,Chris Mullin,1990,True,False
23,Kevin Johnson,1990,True,False
