,Player,Year,All Star,All Star Starter
0,Kevin Garnett,2003,True,True
1,Tim Duncan,2003,True,True
2,Kobe Bryant,2003,True,True
3,Steve Francis,2003,True,True
4,Yao Ming,2003,True,True
5,Shaquille O'Neal,2003,True,False
6,Shawn Marion,2003,True,False
7,Dirk Nowitzki,2003,True,False
8,Steve Nash,2003,True,False
9,Gary Payton,2003,True,False
10,Stephon Marbury,2003,True,False
11,Peja Stojaković,2003,True,False
12,Allen Iverson,2003,True,True
13,Tracy McGrady,2003,True,True
14,Michael Jordan,2003,True,True
15,Jermaine O'Neal,2003,True,True
16,Ben Wallace,2003,True,True
17,Jason Kidd,2003,True,False
18,Vince Carter,2003,True,False
19,Paul Pierce,2003,True,False
20,Brad Miller,2003,True,False
21,Jamal Mashburn,2003,True,False
22,Antoine Walker,2003,True,False
23,Zydrunas Ilgauskas,2003,True,False
