,Player,Year,All Star,All Star Starter
0,Kawhi Leonard,2020,True,True
1,Anthony Davis,2020,True,True
2,LeBron James,2020,True,True
3,James Harden,2020,True,True
4,Luka Dončić,2020,True,True
5,Ben Simmons,2020,True,False
6,Russell Westbrook,2020,True,False
7,Chris Paul,2020,True,False
8,Devin Booker,2020,True,False
9,Domantas Sabonis,2020,True,False
10,Jayson Tatum,2020,True,False
11,Nikola Jokić,2020,True,False
12,Giannis Antetokounmpo,2020,True,True
13,Kemba Walker,2020,True,True
14,Joel Embiid,2020,True,True
15,Pascal Siakam,2020,True,True
16,Trae Young,2020,True,True
17,Kyle Lowry,2020,True,False
18,Khris Middleton,2020,True,False
19,Rudy Gobert,2020,True,False
20,Donovan Mitchell,2020,True,False
21,Jimmy Butler,2020,True,False
22,Bam Adebayo,2020,True,False
23,Brandon Ingram,2020,True,False
