,Player,Year,All Star,All Star Starter
0,Kobe Bryant,2002,True,True
1,Tim Duncan,2002,True,True
2,Kevin Garnett,2002,True,True
3,Chris Webber,2002,True,True
4,Steve Francis,2002,True,True
5,Dirk Nowitzki,2002,True,False
6,Steve Nash,2002,True,False
7,Gary Payton,2002,True,False
8,Elton Brand,2002,True,False
9,Peja Stojaković,2002,True,False
10,Wally Szczerbiak,2002,True,False
11,Allen Iverson,2002,True,True
12,Michael Jordan,2002,True,True
13,Dikembe Mutombo,2002,True,True
14,Jason Kidd,2002,True,True
15,Antoine Walker,2002,True,True
16,Ray Allen,2002,True,False
17,Tracy McGrady,2002,True,False
18,Paul Pierce,2002,True,False
19,Shareef Abdur-Rahim,2002,True,False
20,Jermaine O'Neal,2002,True,False
21,Alonzo Mourning,2002,True,False
22,Baron Davis,2002,True,False
