,Player,Year,All Star,All Star Starter
0,John Stockton,1989,True,True
1,Alex English,1989,True,True
2,Karl Malone,1989,True,True
3,Dale Ellis,1989,True,True
4,Hakeem Olajuwon,1989,True,True
5,Clyde Drexler,1989,True,False
6,James Worthy,1989,True,False
7,Tom Chambers,1989,True,False
8,Chris Mullin,1989,True,False
9,Kareem Abdul-Jabbar,1989,True,False
10,Mark Eaton,1989,True,False
11,Kevin Duckworth,1989,True,False
12,Michael Jordan,1989,True,True
13,Isiah Thomas,1989,True,True
14,Charles Barkley,1989,True,True
15,Moses Malone,1989,True,True
16,Dominique Wilkins,1989,True,True
17,Mark Price,1989,True,False
18,Terry Cummings,1989,True,False
19,Larry Nance,1989,True,False
20,Patrick Ewing,1989,True,False
21,Kevin McHale,1989,True,False
22,Mark Jackson,1989,True,False
23,Brad Daugherty,1989,True,False
