,Player,Year,All Star,All Star Starter
0,Kobe Bryant,2004,True,True
1,Kevin Garnett,2004,True,True
2,Tim Duncan,2004,True,True
3,Steve Francis,2004,True,True
4,Yao Ming,2004,True,True
5,Ray Allen,2004,True,False
6,Shaquille O'Neal,2004,True,False
7,Sam Cassell,2004,True,False
8,Peja Stojaković,2004,True,False
9,Dirk Nowitzki,2004,True,False
10,Andrei Kirilenko,2004,True,False
11,Brad Miller,2004,True,False
12,Jermaine O'Neal,2004,True,True
13,Allen Iverson,2004,True,True
14,Ben Wallace,2004,True,True
15,Tracy McGrady,2004,True,True
16,Vince Carter,2004,True,True
17,Kenyon Martin,2004,True,False
18,Jason Kidd,2004,True,False
19,Jamaal Magloire,2004,True,False
20,Metta World Peace,2004,True,False
21,Baron Davis,2004,True,False
22,Michael Redd,2004,True,False
23,Paul Pierce,2004,True,False
