,Player,Year,All Star,All Star Starter
0,Magic Johnson,1992,True,True
1,Clyde Drexler,1992,True,True
2,Chris Mullin,1992,True,True
3,Karl Malone,1992,True,True
4,David Robinson,1992,True,True
5,Jeff Hornacek,1992,True,False
6,Tim Hardaway,1992,True,False
7,Hakeem Olajuwon,1992,True,False
8,John Stockton,1992,True,False
9,James Worthy,1992,True,False
10,Dan Majerle,1992,True,False
11,Dikembe Mutombo,1992,True,False
12,Otis Thorpe,1992,True,False
13,Michael Jordan,1992,True,True
14,Isiah Thomas,1992,True,True
15,Charles Barkley,1992,True,True
16,Scottie Pippen,1992,True,True
17,Patrick Ewing,1992,True,True
18,Dennis Rodman,1992,True,False
19,Joe Dumars,1992,True,False
20,Reggie Lewis,1992,True,False
21,Brad Daugherty,1992,True,False
22,Mark Price,1992,True,False
23,Michael Adams,1992,True,False
24,Kevin Willis,1992,True,False
