,Player,Year,All Star,All Star Starter
0,Julius Erving,1982,True,True
1,Larry Bird,1982,True,True
2,Tiny Archibald,1982,True,True
3,Isiah Thomas,1982,True,True
4,Artis Gilmore,1982,True,True
5,Sidney Moncrief,1982,True,False
6,Buck Williams,1982,True,False
7,Robert Parish,1982,True,False
8,Micheal Ray Richardson,1982,True,False
9,Kelly Tripucka,1982,True,False
10,Bobby Jones,1982,True,False
11,Bob Lanier,1982,True,False
12,George Gervin,1982,True,True
13,Gus Williams,1982,True,True
14,Kareem Abdul-Jabbar,1982,True,True
15,Adrian Dantley,1982,True,True
16,Lonnie Shelton,1982,True,True
17,Magic Johnson,1982,True,False
18,Jack Sikma,1982,True,False
19,Moses Malone,1982,True,False
20,Norm Nixon,1982,True,False
21,Dennis Johnson,1982,True,False
22,Bernard King,1982,True,False
23,Alex English,1982,True,False
