,Player,Year,All Star,All Star Starter
0,Larry Bird,1988,True,True
1,Dominique Wilkins,1988,True,True
2,Michael Jordan,1988,True,True
3,Isiah Thomas,1988,True,True
4,Moses Malone,1988,True,True
5,Danny Ainge,1988,True,False
6,Patrick Ewing,1988,True,False
7,Doc Rivers,1988,True,False
8,Brad Daugherty,1988,True,False
9,Charles Barkley,1988,True,False
10,Kevin McHale,1988,True,False
11,Maurice Cheeks,1988,True,False
12,Magic Johnson,1988,True,True
13,Karl Malone,1988,True,True
14,Fat Lever,1988,True,True
15,Hakeem Olajuwon,1988,True,True
16,Alex English,1988,True,True
17,Clyde Drexler,1988,True,False
18,Kareem Abdul-Jabbar,1988,True,False
19,James Worthy,1988,True,False
20,Xavier McDaniel,1988,True,False
21,Mark Aguirre,1988,True,False
22,Alvin Robertson,1988,True,False
23,James Donaldson,1988,True,False
