,Player,Year,All Star,All Star Starter
0,Stephen Curry,2016,True,True
1,Kobe Bryant,2016,True,True
2,Kawhi Leonard,2016,True,True
3,Kevin Durant,2016,True,True
4,Russell Westbrook,2016,True,True
5,James Harden,2016,True,False
6,Klay Thompson,2016,True,False
7,Chris Paul,2016,True,False
8,Anthony Davis,2016,True,False
9,LaMarcus Aldridge,2016,True,False
10,Draymond Green,2016,True,False
11,DeMarcus Cousins,2016,True,False
12,Kyle Lowry,2016,True,True
13,Paul George,2016,True,True
14,Carmelo Anthony,2016,True,True
15,Dwyane Wade,2016,True,True
16,LeBron James,2016,True,True
17,John Wall,2016,True,False
18,Paul Millsap,2016,True,False
19,Isaiah Thomas,2016,True,False
20,DeMar DeRozan,2016,True,False
21,Andre Drummond,2016,True,False
22,Pau Gasol,2016,True,False
23,Al Horford,2016,True,False
