,Player,Year,All Star,All Star Starter
0,Kyrie Irving,2014,True,True
1,LeBron James,2014,True,True
2,Paul George,2014,True,True
3,Carmelo Anthony,2014,True,True
4,Dwyane Wade,2014,True,True
5,Joakim Noah,2014,True,False
6,John Wall,2014,True,False
7,DeMar DeRozan,2014,True,False
8,Paul Millsap,2014,True,False
9,Roy Hibbert,2014,True,False
10,Chris Bosh,2014,True,False
11,Joe Johnson,2014,True,False
12,Kevin Durant,2014,True,True
13,Kevin Love,2014,True,True
14,Blake Griffin,2014,True,True
15,Stephen Curry,2014,True,True
16,James Harden,2014,True,True
17,Chris Paul,2014,True,False
18,Dwight Howard,2014,True,False
19,LaMarcus Aldridge,2014,True,False
20,Tony Parker,2014,True,False
21,Anthony Davis,2014,True,False
22,Damian Lillard,2014,True,False
23,Dirk Nowitzki,2014,True,False
