,Player,Year,All Star,All Star Starter
0,Magic Johnson,1987,True,True
1,Tom Chambers,1987,True,True
2,James Worthy,1987,True,True
3,Hakeem Olajuwon,1987,True,True
4,Alvin Robertson,1987,True,True
5,Kareem Abdul-Jabbar,1987,True,False
6,Rolando Blackman,1987,True,False
7,Sleepy Floyd,1987,True,False
8,Joe Barry Carroll,1987,True,False
9,Mark Aguirre,1987,True,False
10,Walter Davis,1987,True,False
11,Alex English,1987,True,False
12,Moses Malone,1987,True,True
13,Larry Bird,1987,True,True
14,Julius Erving,1987,True,True
15,Michael Jordan,1987,True,True
16,Dominique Wilkins,1987,True,True
17,Kevin McHale,1987,True,False
18,Isiah Thomas,1987,True,False
19,Charles Barkley,1987,True,False
20,Jeff Malone,1987,True,False
21,Bill Laimbeer,1987,True,False
22,Maurice Cheeks,1987,True,False
23,Robert Parish,1987,True,False
