,Player,Year,All Star,All Star Starter
0,George Gervin,1980,True,True
1,Eddie Johnson,1980,True,True
2,Moses Malone,1980,True,True
3,Julius Erving,1980,True,True
4,John Drew,1980,True,True
5,Elvin Hayes,1980,True,False
6,Dan Roundfield,1980,True,False
7,Larry Bird,1980,True,False
8,Tiny Archibald,1980,True,False
9,Bill Cartwright,1980,True,False
10,Micheal Ray Richardson,1980,True,False
11,Marques Johnson,1980,True,True
12,Adrian Dantley,1980,True,True
13,Kareem Abdul-Jabbar,1980,True,True
14,Magic Johnson,1980,True,True
15,World B. Free,1980,True,True
16,Jack Sikma,1980,True,False
17,Paul Westphal,1980,True,False
18,Walter Davis,1980,True,False
19,Dennis Johnson,1980,True,False
20,Kermit Washington,1980,True,False
21,Otis Birdsong,1980,True,False
