,Player,Year,All Star,All Star Starter
0,Michael Jordan,1998,True,True
1,Grant Hill,1998,True,True
2,Shawn Kemp,1998,True,True
3,Dikembe Mutombo,1998,True,True
4,Anfernee Hardaway,1998,True,True
5,Rik Smits,1998,True,False
6,Reggie Miller,1998,True,False
7,Jayson Williams,1998,True,False
8,Tim Hardaway,1998,True,False
9,Glen Rice,1998,True,False
10,Steve Smith,1998,True,False
11,Antoine Walker,1998,True,False
12,Gary Payton,1998,True,True
13,Kobe Bryant,1998,True,True
14,Kevin Garnett,1998,True,True
15,Shaquille O'Neal,1998,True,True
16,Karl Malone,1998,True,True
17,Eddie Jones,1998,True,False
18,David Robinson,1998,True,False
19,Vin Baker,1998,True,False
20,Nick Van Exel,1998,True,False
21,Jason Kidd,1998,True,False
22,Mitch Richmond,1998,True,False
23,Tim Duncan,1998,True,False
